"Reactivates a task, allowing it to run again even if its retry count has been exhausted",batch task reactivate
Terminates the specified task,batch task stop
Lists all of the subtasks that are associated with the specified multi-instance task,batch task subtask list
Deletes the specified task file from the compute node where the task ran,batch task file delete
Download the content of a Batch task file,batch task file download
Gets the properties of the specified task file,batch task file show
Lists the files in a task's directory on its compute node,batch task file list
Deletes the specified file from the compute node,batch node file delete
Download the content of the a node file,batch node file download
Gets the properties of the specified compute node file,batch node file show
Lists all of the files in task directories on the specified compute node,batch node file list
Add a user account to a Batch compute node,batch node user create
Deletes a user account from the specified compute node,batch node user delete
Update the properties of a user account on a Batch compute node,batch node user reset
Gets information about the specified compute node,batch node show
Lists the compute nodes in the specified pool,batch node list
Restarts the specified compute node,batch node reboot
Reinstalls the operating system on the specified compute node,batch node reimage
Disables task scheduling on the specified compute node,batch node scheduling disable
Enables task scheduling on the specified compute node,batch node scheduling enable
Gets the settings required for remote login to a compute node,batch node remote-login-settings show
Gets the Remote Desktop Protocol file for the specified compute node,batch node remote-desktop download
Upload Azure Batch service log files from the specified compute node to Azure Blob Storage,batch node service-logs upload
Create a workspace,batchai workspace create
Show information about a workspace,batchai workspace show
List workspaces,batchai workspace list
Delete a workspace,batchai workspace delete
Create a cluster,batchai cluster create
Delete a cluster,batchai cluster delete
Show information about a cluster,batchai cluster show
List clusters,batchai cluster list
Resize a cluster,batchai cluster resize
Set auto-scale parameters for a cluster,batchai cluster auto-scale
List remote login information for cluster's nodes,batchai cluster node list
Executes a command line on a cluster's node with optional ports forwarding,batchai cluster node exec
List files generated by the cluster's node setup task,batchai cluster file list
Create an experiment,batchai experiment create
Show information about an experiment,batchai experiment show
List experiments,batchai experiment list
Delete an experiment,batchai experiment delete
Create a job,batchai job create
Delete a job,batchai job delete
Terminate a job,batchai job terminate
Show information about a job,batchai job show
List jobs,batchai job list
Waits for specified job completion and setups the exit code to the job's exit code,batchai job wait
List job's output files in a directory with given id,batchai job file list
Stream the content of a file (similar to 'tail -f'),batchai job file stream
List remote login information for nodes which executed the job,batchai job node list
Executes a command line on a cluster's node used to execute the job with optional ports forwarding,batchai job node exec
Create a file server,batchai file-server create
Delete a file server,batchai file-server delete
Show information about a file server,batchai file-server show
List file servers,batchai file-server list
Gets the current usage information as well as limits for Batch AI resources for given location,batchai list-usages
List all available invoices of the subscription,billing invoice list
Retrieve invoice of specific name of the subscription,billing invoice show
Lists the available billing periods for a subscription in reverse chronological order,billing period list
Gets a named billing period,billing period show
Lists the enrollment accounts the caller has access to,billing enrollment-account list
Gets a enrollment account by name,billing enrollment-account show
Check the availability of a resource name,cdn name-exists
Check the quota and actual usage of the CDN profiles under the given subscription,cdn usage
Start a CDN endpoint,cdn endpoint start
Stop a CDN endpoint,cdn endpoint stop
Delete a CDN endpoint,cdn endpoint delete
"Gets an existing CDN endpoint with the specified endpoint name under the specified subscription, resource group and profile",cdn endpoint show
List available endpoints for a CDN,cdn endpoint list
Pre-load content for a CDN endpoint,cdn endpoint load
Purge pre-loaded content for a CDN endpoint,cdn endpoint purge
Validates the custom domain mapping to ensure it maps to the correct CDN endpoint in DNS,cdn endpoint validate-custom-domain
Create a named endpoint to connect to a CDN,cdn endpoint create
Update a CDN endpoint to manage how content is delivered,cdn endpoint update
Gets a CDN profile with the specified profile name under the specified subscription and resource group,cdn profile show
Checks the quota and actual usage of endpoints under the given CDN profile,cdn profile usage
Delete a CDN profile,cdn profile delete
List CDN profiles,cdn profile list
Create a new CDN profile,cdn profile create
Update a CDN profile,cdn profile update
Show details for the custom domain of a CDN,cdn custom-domain show
Delete the custom domain of a CDN,cdn custom-domain delete
Lists all of the existing custom domains within an endpoint,cdn custom-domain list
Create a new custom domain to provide a hostname for a CDN endpoint,cdn custom-domain create
Enable https delivery of the custom domain,cdn custom-domain enable-https
Disable https delivery of the custom domain,cdn custom-domain disable-https
Gets an existing origin within an endpoint,cdn origin show
Lists all of the existing origins within an endpoint,cdn origin list
Lists all the edge nodes of a CDN service,cdn edge-node list
List registered clouds,cloud list
Get the details of a registered cloud,cloud show
Register a cloud,cloud register
Unregister a cloud,cloud unregister
Set the active cloud,cloud set
Update the configuration of a cloud,cloud update
List the supported profiles for a cloud,cloud list-profiles
Create an Azure Cognitive Services account,cognitiveservices account create
Delete an Azure Cognitive Services account,cognitiveservices account delete
Get the details of an Azure Cognitive Services account,cognitiveservices account show
Update the properties of an Azure Cognitive Services account,cognitiveservices account update
List the SKUs avaiable for an Azure Cognitive Services account,cognitiveservices account list-skus
Regenerate the keys of an Azure Cognitive Services account,cognitiveservices account keys regenerate
List the keys of an Azure Cognitive Services account,cognitiveservices account keys list
List available Azure Cognitive Services accounts,cognitiveservices list
Display and manage the Azure CLI 2,configure
"List the details of Azure resource consumption, either as an invoice or within a billing period",consumption usage list
List reservation summaries for daily or monthly by order Id or reservation id,consumption reservation summary list
List the details of a reservation by order id or reservation id,consumption reservation detail list
Show the price sheet for an Azure subscription within a billing period,consumption pricesheet show
List the marketplace for an Azure subscription within a billing period,consumption marketplace list
List budgets for an Azure subscription,consumption budget list
Show budget for an Azure subscription,consumption budget show
Create a budget for an Azure subscription,consumption budget create
Delete a budget for an Azure subscription,consumption budget delete
List container groups,container list
Create a container group,container create
Get the details of a container group,container show
Delete a container group,container delete
Examine the logs for a container in a container group,container logs
Execute a command from within a running container of a container group,container exec
Export a container group in yaml format,container export
Attach local standard output and error streams to a container in a container group,container attach
Get the details of an Azure Cosmos DB database account,cosmosdb show
List the access keys for a Azure Cosmos DB database account,cosmosdb list-keys
List the read-only access keys for a Azure Cosmos DB database account,cosmosdb list-read-only-keys
List the connection strings for a Azure Cosmos DB database account,cosmosdb list-connection-strings
Regenerate an access key for a Azure Cosmos DB database account,cosmosdb regenerate-key
Checks if an Azure Cosmos DB account name exists,cosmosdb check-name-exists
Deletes an Azure Cosmos DB database account,cosmosdb delete
Changes the failover priority for the Azure Cosmos DB database account,cosmosdb failover-priority-change
Creates a new Azure Cosmos DB database account,cosmosdb create
Update an Azure Cosmos DB database account,cosmosdb update
List Azure Cosmos DB database accounts,cosmosdb list
Shows an Azure Cosmos DB database ,cosmosdb database show
Lists all Azure Cosmos DB databases ,cosmosdb database list
Returns a boolean indicating whether the database exists ,cosmosdb database exists
Creates an Azure Cosmos DB database ,cosmosdb database create
Deletes an Azure Cosmos DB database ,cosmosdb database delete
Shows an Azure Cosmos DB collection and its offer ,cosmosdb collection show
Lists all Azure Cosmos DB collections ,cosmosdb collection list
Returns a boolean indicating whether the collection exists ,cosmosdb collection exists
Creates an Azure Cosmos DB collection ,cosmosdb collection create
Deletes an Azure Cosmos DB collection ,cosmosdb collection delete
Updates an Azure Cosmos DB collection ,cosmosdb collection update
Create a Data Lake Analytics account,dla account create
Update a Data Lake Analytics account,dla account update
List available Data Lake Analytics accounts,dla account list
Get the details of a Data Lake Analytics account,dla account show
Delete a Data Lake Analytics account,dla account delete
Create a firewall rule in a Data Lake Analytics account,dla account firewall create
Update a firewall rule in a Data Lake Analytics account,dla account firewall update
List firewall rules in a Data Lake Analytics account,dla account firewall list
Retrieve a firewall rule in a Data Lake Analytics account,dla account firewall show
Delete a firewall rule in a Data Lake Analytics account,dla account firewall delete
Submit a job to a Data Lake Analytics account,dla job submit
Wait for a Data Lake Analytics job to finish,dla job wait
Get information for a Data Lake Analytics job,dla job show
Cancel a Data Lake Analytics job,dla job cancel
List Data Lake Analytics jobs,dla job list
Retrieve a job pipeline in a Data Lake Analytics account,dla job pipeline show
List job pipelines in a Data Lake Analytics account,dla job pipeline list
Retrieve a job recurrence in a Data Lake Analytics account,dla job recurrence show
List job recurrences in a Data Lake Analytics account,dla job recurrence list
Gets the specified Azure Storage account linked to the given Data Lake Analytics account,dla account blob-storage show
Links an Azure Storage account to the specified Data Lake Analytics account,dla account blob-storage add
Updates an Azure Storage account linked to the specified Data Lake Analytics account,dla account blob-storage update
Updates the specified Data Lake Analytics account to remove an Azure Storage account,dla account blob-storage delete
"Gets the first page of Azure Storage accounts, if any, linked to the specified Data Lake Analytics account",dla account blob-storage list
Gets the specified Data Lake Store account details in the specified Data Lake Analytics account,dla account data-lake-store show
Gets the first page of Data Lake Store accounts linked to the specified Data Lake Analytics account,dla account data-lake-store list
Updates the specified Data Lake Analytics account to include the additional Data Lake Store account,dla account data-lake-store add
Updates the Data Lake Analytics account specified to remove the specified Data Lake Store account,dla account data-lake-store delete
Create a new catalog credential for use with an external data source,dla catalog credential create
Retrieve a catalog credential,dla catalog credential show
Update a catalog credential for use with an external data source,dla catalog credential update
List catalog credentials,dla catalog credential list
Delete a catalog credential,dla catalog credential delete
Retrieves the specified database from the Data Lake Analytics catalog,dla catalog database show
Retrieves the list of databases from the Data Lake Analytics catalog,dla catalog database list
Retrieves the specified schema from the Data Lake Analytics catalog,dla catalog schema show
Retrieves the list of schemas from the Data Lake Analytics catalog,dla catalog schema list
Retrieves the specified table from the Data Lake Analytics catalog,dla catalog table show
List tables in a database or schema,dla catalog table list
Retrieves the specified assembly from the Data Lake Analytics catalog,dla catalog assembly show
Retrieves the list of assemblies from the Data Lake Analytics catalog,dla catalog assembly list
Retrieves the specified external data source from the Data Lake Analytics catalog,dla catalog external-data-source show
Retrieves the list of external data sources from the Data Lake Analytics catalog,dla catalog external-data-source list
Retrieves the specified procedure from the Data Lake Analytics catalog,dla catalog procedure show
Retrieves the list of procedures from the Data Lake Analytics catalog,dla catalog procedure list
Retrieves the specified table partition from the Data Lake Analytics catalog,dla catalog table-partition show
Retrieves the list of table partitions from the Data Lake Analytics catalog,dla catalog table-partition list
Retrieves the specified table statistics from the Data Lake Analytics catalog,dla catalog table-stats show
"List table statistics in a database, table, or schema",dla catalog table-stats list
Retrieves the specified table type from the Data Lake Analytics catalog,dla catalog table-type show
Retrieves the list of table types from the Data Lake Analytics catalog,dla catalog table-type list
Retrieves the specified table valued function from the Data Lake Analytics catalog,dla catalog tvf show
List table valued functions in a database or schema,dla catalog tvf list
Retrieves the specified view from the Data Lake Analytics catalog,dla catalog view show
List views in a database or schema,dla catalog view list
Retrieves the specified package from the Data Lake Analytics catalog,dla catalog package show
Retrieves the list of packages from the Data Lake Analytics catalog,dla catalog package list
Create a compute policy in the Data Lake Analytics account,dla account compute-policy create
Update a compute policy in the Data Lake Analytics account,dla account compute-policy update
List compute policies in the a Lake Analytics account,dla account compute-policy list
Retrieve a compute policy in a Data Lake Analytics account,dla account compute-policy show
Delete a compute policy in a Data Lake Analytics account,dla account compute-policy delete
Creates a Data Lake Store account,dls account create
Updates a Data Lake Store account,dls account update
Lists available Data Lake Store accounts,dls account list
Delete a Data Lake Store account,dls account delete
Get the details of a Data Lake Store account,dls account show
Enable the use of Azure Key Vault for encryption of a Data Lake Store account,dls account enable-key-vault
Creates a firewall rule in a Data Lake Store account,dls account firewall create
Updates a firewall rule in a Data Lake Store account,dls account firewall update
Lists firewall rules in a Data Lake Store account,dls account firewall list
Get the details of a firewall rule in a Data Lake Store account,dls account firewall show
Deletes a firewall rule in a Data Lake Store account,dls account firewall delete
Creates or updates the specified trusted identity provider,dls account trusted-provider create
Updates the specified trusted identity provider,dls account trusted-provider update
Lists the Data Lake Store trusted identity providers within the specified Data Lake Store account,dls account trusted-provider list
Gets the specified Data Lake Store trusted identity provider,dls account trusted-provider show
Deletes the specified trusted identity provider from the specified Data Lake Store account,dls account trusted-provider delete
Get file or folder information in a Data Lake Store account,dls fs show
List the files and folders in a Data Lake Store account,dls fs list
Creates a file or folder in a Data Lake Store account,dls fs create
Append content to a file in a Data Lake Store account,dls fs append
Delete a file or folder in a Data Lake Store account,dls fs delete
Upload a file or folder to a Data Lake Store account,dls fs upload
Download a file or folder from a Data Lake Store account to the local machine,dls fs download
Test for the existence of a file or folder in a Data Lake Store account,dls fs test
Preview the content of a file in a Data Lake Store account,dls fs preview
Join files in a Data Lake Store account into one file,dls fs join
Move a file or folder in a Data Lake Store account,dls fs move
Set the expiration time for a file,dls fs set-expiry
Remove the expiration time for a file,dls fs remove-expiry
Set the permissions for a file or folder in a Data Lake Store account,dls fs access set-permission
Set the owner information for a file or folder in a Data Lake Store account,dls fs access set-owner
Display the access control list (ACL),dls fs access show
Update the access control list for a file or folder,dls fs access set-entry
Replace the existing access control list for a file or folder,dls fs access set
Remove entries for the access control list of a file or folder,dls fs access remove-entry
Remove the access control list for a file or folder,dls fs access remove-all
Check if a given DMS instance name is available in a given region as well as the name's validity,dms check-name
Perform a health check and return the status of the service and virtual machine size,dms check-status
Create an instance of the Data Migration Service,dms create
Delete an instance of the Data Migration Service,dms delete
"List the DMS instances within your currently configured subscription (to set this use ""az account set"")",dms list
Show the details for an instance of the Data Migration Service,dms show
Start an instance of the Data Migration Service,dms start
Stop an instance of the Data Migration Service,dms stop
Place the CLI in a waiting state until a condition of the DMS instance is met,dms wait
List the SKUs that are supported by the Data Migration Service,dms list-skus
Create a migration Project which can contain multiple Tasks,dms project create
Delete a Project,dms project delete
List the Projects within an instance of DMS,dms project list
Show the details of a migration Project,dms project show
Check if a given Project name is available within a given instance of DMS as well as the name's validity,dms project check-name
Create and start a migration Task,dms project task create
Delete a migration Task,dms project task delete
List the Tasks within a Project,dms project task list
Show the details of a migration Task,dms project task show
Cancel a Task if it's currently queued or running,dms project task cancel
Check if a given Task name is available within a given instance of DMS as well as the name's validity,dms project task check-name
Create a topic,eventgrid topic create
Get the details of a topic,eventgrid topic show
List shared access keys of a topic,eventgrid topic key list
Regenerate a shared access key of a topic,eventgrid topic key regenerate
Delete a topic,eventgrid topic delete
List available topics,eventgrid topic list
Update a topic,eventgrid topic update
Create a new event subscription for an Event Grid topic or for an Azure resource,eventgrid event-subscription create
Get the details of an event subscription,eventgrid event-subscription show
Delete an event subscription,eventgrid event-subscription delete
List event subscriptions,eventgrid event-subscription list
Update an event subscription,eventgrid event-subscription update
List registered topic types,eventgrid topic-type list
