text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples,
will,will,VERB,MD,aux,True,False,680,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
file,file,VERB,VB,xcomp,True,False,633,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ']
manage,manage,VERB,VB,ROOT,True,False,595,[u'Manage ExpressRoute peering of an ExpressRoute circuit ', u'Manage DevTest Labs artifacts ']
must,must,VERB,MD,aux,True,False,594,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'A Shared Access Signature SAS Must be used in conjunction with storage account name Environment variable AZURE_STORAGE_SAS_TOKEN']
delete,delete,VERB,VB,ROOT,True,False,534,[u'Delete an address pool ', u'Delete an address pool ']
update,update,VERB,VB,ROOT,True,False,495,[u'Update an Azure IoT Hub device provisioning service ', u'Update an object by specifying a property path and value to set Example set property1 property2 value ']
remove,remove,VERB,VB,ROOT,True,False,477,[u'Remove a property or an element from a list Example remove property list indexToRemove OR remove propertyToRemove', u'Remove a property or an element from a list Example remove property list indexToRemove OR remove propertyToRemove']
get,get,VERB,VB,ROOT,True,False,449,[u'Get the quota usages for a container registry ', u'Get the quota usages for a container registry ']
exist,exist,VERB,VBG,amod,True,False,433,[u'Metadata in space separated key value pairs This overwrites any existing metadata ', u'The id of an existing pool All the tasks of the job will run on the specified pool ']
do,do,VERB,VBZ,aux,True,False,418,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
separate,separate,VERB,VBD,ROOT,True,False,362,[u'Metadata in space separated key value pairs This overwrites any existing metadata ', u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ']
add,add,VERB,VB,ROOT,True,False,350,[u'Add a job to a Batch account ', u'Add an object to a list of objects by specifying a path and key value pairs Example add property listProperty key value string or JSON string ']
run,run,VERB,VB,relcl,True,False,257,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
wait,wait,VERB,VB,ROOT,True,False,245,[u'Do not wait for the long running operation to finish ', u'Do not wait for the long running operation to finish ']
show,show,VERB,VB,ROOT,True,False,233,[u'Show all properties of a blob ', u'show public ip address FQDN and power states command will run slow']
store,store,VERB,VBN,amod,True,False,221,[u'The permissions the SAS grants Allowed values r ead query a dd u pdate d elete Do not use if a stored access policy is referenced with id that specifies this value Can be combined ', u'The name of a stored access policy within the table s ACL ']
may,may,VERB,MD,aux,True,False,219,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
query,query,VERB,VB,xcomp,True,False,218,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Query text to find ']
return,return,VERB,VB,relcl,True,False,208,[u'Maximum number of records to return ', u'Maximum number of records to return ']
have,have,VERB,VB,ccomp,True,False,199,[u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ', u' Required if the blob has an active lease ']
apply,apply,VERB,VBZ,dobj,True,False,197,[u'Request timeout in seconds Applies to each call to the service ', u'Request timeout in seconds Applies to each call to the service ']
perform,perform,VERB,VB,xcomp,True,False,192,[u' An ETag value or the wildcard character Specify this header to perform the operation only if the resource s ETag does not match the value specified Specify the wildcard character to perform the operation only if the resource does not exist and fail the operation if it does exist ', u' An ETag value or the wildcard character Specify this header to perform the operation only if the resource s ETag does not match the value specified Specify the wildcard character to perform the operation only if the resource does not exist and fail the operation if it does exist ']
contain,contain,VERB,VB,ROOT,True,False,191,[u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ', u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ']
indicate,indicate,VERB,VBZ,relcl,True,False,170,[u'A boolean value that indicates whether the rule action requires preprocessing ', u'A boolean value that indicates whether the rule action requires preprocessing ']
enable,enable,VERB,VBN,ccomp,True,False,170,[u'Gets the result of evaluating an automatic scaling formula on the pool This API is primarily for validating an autoscale formula as it simply returns the result without applying the formula to the pool The pool must have auto scaling enabled in order to evaluate a formula ', u'The formula for the desired number of compute nodes in the pool The formula is validated and its results calculated but it is not applied to the pool To apply the formula to the pool Enable automatic scaling on a pool For more information about specifying this formula see Automatically scale compute nodes in an Azure Batch pool https azure microsoft com en us documentation articles batch automatic scaling ']
associate,associate,VERB,VBN,ROOT,True,False,167,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'A list of name value pairs associated with the job as metadata The Batch service does not assign any meaning to metadata it is solely for the use of user code Space separated values in key value format ']
modify,modify,VERB,VBN,advcl,True,False,167,[u'Alter only if modified since supplied UTC datetime Y m d T H M Z ', u'A timestamp indicating the last modified time of the resource known to the client The operation will be performed only if the resource on the service has not been modified since the specified time ']
try,try,VERB,VB,ROOT,True,False,159,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ']
execute,execute,VERB,VBN,advcl,True,False,156,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
log,log,VERB,VB,xcomp,True,False,153,[u'The password used to log in Also known as Client Secret If not present a random secret will be generated ', u'The user name for logging to Vm Default will be adminuser']
give,give,VERB,VBN,pcomp,True,False,150,[u'Create Authorization Rule for given Service Bus Topic', u'Create Authorization Rule for given Service Bus Topic']
finish,finish,VERB,VB,advcl,True,False,149,[u'Do not wait for the long running operation to finish ', u'Do not wait for the long running operation to finish ']
authenticate,authenticate,VERB,VBN,amod,True,False,144,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
match,match,VERB,VB,ccomp,True,False,137,[u' An ETag value or the wildcard character Specify this header to perform the operation only if the resource s ETag does not match the value specified Specify the wildcard character to perform the operation only if the resource does not exist and fail the operation if it does exist ', u' An ETag value or the wildcard character Specify this header to perform the operation only if the resource s ETag matches the value specified ']
hit,hit,VERB,VBN,conj,True,False,134,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
include,include,VERB,VBG,prep,True,False,134,[u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ', u'A string that uniquely identifies the Job Manager task within the job The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters ']
allow,allow,VERB,VBN,acl,True,False,126,[u'Gets a list of SKUs available for your VM scale set including the minimum and maximum VM instances allowed for each SKU ', u'The permissions the SAS grants Allowed values r ead query a dd u pdate d elete Do not use if a stored access policy is referenced with id that specifies this value Can be combined ']
require,require,VERB,VBN,ROOT,True,False,118,[u' Required if the blob has an active lease ', u'A boolean value that indicates whether the rule action requires preprocessing ']
retrieve,retrieve,VERB,VB,xcomp,True,False,113,[u' The snapshot parameter is an opaque DateTime value that when present specifies the blob snapshot to retrieve ', u'Retrieve the remote desktop protocol file for a Batch compute node ']
omit,omit,VERB,VB,ROOT,True,False,113,[u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ', u'The ID of the job schedule from which you want to get a list of jobs If omitted lists all jobs in the account ']
know,know,VERB,VBN,acl,True,False,113,[u'A timestamp indicating the last modified time of the resource known to the client The operation will be performed only if the resource on the service has not been modified since the specified time ', u'A timestamp indicating the last modified time of the resource known to the client The operation will be performed only if the resource on the service has been modified since the specified time ']
clear,clear,VERB,VB,xcomp,True,False,112,[u'space separated tags in key value format Use to clear existing tags ', u'space separated tags in key value format Use to clear existing tags ']
see,see,VERB,VBN,amod,True,False,74,[u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ', u'Expand the response to provide more details Use with command to see more details of the Task Use with output to see the results of the Task s migration ']
range,range,VERB,VB,ROOT,True,False,74,[u'The priority of the job Priority values can range from 1000 to 1000 with 1000 being the lowest priority and 1000 being the highest priority The default value is 0 ', u'Specifies the IP address or range of IP addresses from which to accept requests Supports only IPv4 style addresses ']
download,download,VERB,VB,relcl,True,False,74,[u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ', u'Download the content of a Batch task file ']
disable,disable,VERB,VB,advcl,True,False,71,[u'Space separated list of rule IDs to disable ', u'Space separated list of rule groups to disable To disable individual rules use disabled rules ']
retry,retry,VERB,VBN,ROOT,True,False,68,[u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ', u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ']
support,support,VERB,VBZ,ccomp,True,False,67,[u'Specifies the IP address or range of IP addresses from which to accept requests Supports only IPv4 style addresses ', u'Specifies the IP address or range of IP addresses from which to accept requests Supports only IPv4 style addresses ']
prompt,prompt,VERB,VB,ROOT,True,False,66,[u'Do not prompt for confirmation ', u'Do not prompt for confirmation ']
supply,supply,VERB,VBN,amod,True,False,66,[u'Alter only if unmodified since supplied UTC datetime Y m d T H M Z ', u'Alter only if modified since supplied UTC datetime Y m d T H M Z ']
assign,assign,VERB,VB,ROOT,True,False,64,[u'A list of name value pairs associated with the job as metadata The Batch service does not assign any meaning to metadata it is solely for the use of user code Space separated values in key value format ', u'User domain assigned to the storage account Name is the CNAME source ']
fail,fail,VERB,VB,conj,True,False,63,[u' An ETag value or the wildcard character Specify this header to perform the operation only if the resource s ETag does not match the value specified Specify the wildcard character to perform the operation only if the resource does not exist and fail the operation if it does exist ', u'The action the Batch service should take when all tasks in the job are in the completed state If omitted the completion behavior is set to noaction If the current value is terminatejob this is an error because a job s completion behavior may not be changed from terminatejob to noaction You may not change the value from terminatejob to noaction that is once you have engaged automatic job termination you cannot turn it off again If you try to do this the request fails and Batch returns status code 400 Bad Request and an invalid property value error response If you do not specify this element in a PUT request it is equivalent to passing noaction This is an error if the current value is terminatejob ']
overwrite,overwrite,VERB,VBZ,relcl,True,False,62,[u'Metadata in space separated key value pairs This overwrites any existing metadata ', u'Metadata in space separated key value pairs This overwrites any existing metadata ']
base,base,VERB,VBN,acl,True,False,62,[u'Filter results based on UTC hour offset ', u'Get policy events in current subscription filtering results based on some property values ']
generate,generate,VERB,VBZ,ROOT,True,False,61,[u'Generates a shared access signature for the table Use the returned signature with the sas_token parameter of TableService ', u'Generates a shared access signature for the file Use the returned signature with the sas_token parameter of FileService ']
check,check,VERB,VB,ROOT,True,False,60,[u'Check if a private IP address is available for use within a virtual network ', u'Check whether 10 0 0 4 is available within MyVnet ']
link,link,VERB,VBN,amod,True,False,55,[u'Update a linked IoT hub in an Azure IoT Hub device provisioning service ', u'Host name of linked IoT Hub ']
take,take,VERB,VB,conj,True,False,54,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
accept,accept,VERB,VBN,ROOT,True,False,54,[u'Extension settings in JSON format A JSON file path is also accepted ', u'Protected settings in JSON format for sensitive information like credentials A JSON file path is also accepted ']
restore,restore,VERB,VB,ROOT,True,False,52,[u'Restore disks of the backed VM from the specified recovery point ', u'Use this flag when you want disks to be restored to the staging storage account using the storage account parameter When not specified disks will be restored to their original storage accounts Default false ']
limit,limit,VERB,VB,ROOT,True,False,52,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
order,order,VERB,VBG,ROOT,True,False,46,[u'Ordering expression using OData notation ', u'Get top 5 policy events in current subscription selecting a subset of properties and customizing ordering ']
alter,alter,VERB,VB,ROOT,True,False,46,[u'Alter only if unmodified since supplied UTC datetime Y m d T H M Z ', u'Alter only if modified since supplied UTC datetime Y m d T H M Z ']
expand,expand,VERB,VBZ,ROOT,True,False,46,[u'Expands referenced resources ', u' An OData expand clause ']
control,control,VERB,VBZ,acl,True,False,46,[u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ', u' Response header value for Cache Control when resource is accessed using this shared access signature ']
display,display,VERB,VB,ROOT,True,False,45,[u'Display the current distribution of traffic across slots ', u'display name of policy definition']
represent,represent,VERB,VBG,acl,True,False,44,[u'Space separated list of CIDR prefixes representing the address space for the P2S client ', u' A string that represents the snapshot version if applicable ']
upload,upload,VERB,VB,ROOT,True,False,43,[u'Upload files from a local directory to a blob container ', u'The blob container where the files will be uploaded ']
want,want,VERB,VBP,advcl,True,False,43,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The ID of the job schedule from which you want to get a list of jobs If omitted lists all jobs in the account ']
define,define,VERB,VBD,ROOT,True,False,43,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Whether tasks in the job can define dependencies on each other The default is false True if flag present ']
attempt,attempt,VERB,VB,ROOT,True,False,42,[u'If not specified will attempt to discover the resource group for the specified Data Lake Analytics account ', u'If not specified will attempt to discover the resource group for the specified Data Lake Analytics account ']
prevent,prevent,VERB,VB,relcl,True,False,40,[u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ', u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ']
back,back,VERB,VBN,amod,True,False,39,[u'Restore disks of the backed VM from the specified recovery point ', u'Name of the backed up item ']
peer,peer,VERB,VBG,advcl,True,False,38,[u'Weight 0 100 added to routes learned through BGP peering ', u'IP address to use for BGP peering ']
resc,resc,VERB,VBZ,appos,True,False,37,[u'Resource type Ex resC ', u'Resource type Ex resC ']
discover,discover,VERB,VB,xcomp,True,False,36,[u'If not specified will attempt to discover the resource group for the specified Data Lake Analytics account ', u'If not specified will attempt to discover the resource group for the specified Data Lake Analytics account ']
stop,stop,VERB,VB,ROOT,True,False,36,[u'Stop a running packet capture session ', u'Stop a running packet capture session ']
send,send,VERB,VB,ROOT,True,False,35,[u'Address to send to ', u'Enables sending session affinity cookies ']
attach,attach,VERB,VB,ROOT,True,False,35,[u'Attach an unmanaged persistent disk to a VM ', u'Attach a new default sized 1023 GB unmanaged data disk to a VM ']
ignore,ignore,VERB,VBN,ROOT,True,False,34,[u'A file containing the job specification in JSON format If this parameter is specified all Job Arguments are ignored ', u'A file containing the job update parameter specification in JSON format If this parameter is specified all Job Arguments are ignored ']
terminate,terminate,VERB,VBZ,ccomp,True,False,34,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
place,place,VERB,VB,ROOT,True,False,33,[u'Place the CLI in a waiting state until a deployment condition is met ', u'Place the CLI in a waiting state until a condition of the ExpressRoute is met ']
succeed,succeed,VERB,VBZ,ROOT,True,False,33,[u' If specified get_container_acl only succeeds if the container s lease is active and matches this ID ', u'wait until created with provisioningState at Succeeded ']
need,need,VERB,VBN,ROOT,True,False,33,[u'Managed OS disk ID or name to swap to Feature registration for Microsoft Compute AllowManagedDisksReplaceOSDisk is needed', u'space separated URIs to which Azure AD will redirect in response to an OAuth 2 0 request The value does not need to be a physical endpoint but must be a valid URI ']
monitor,monitor,VERB,VB,relcl,True,False,31,[u'Port to monitor ', u'Monitor protocol ']
work,work,VERB,VBG,compound,True,False,30,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ']
break,break,VERB,VBZ,ROOT,True,False,30,[u'Breaks the lease if the blob has an active lease Once a lease is broken it cannot be renewed Any authorized request can break the lease the request is not required to specify a matching lease ID When a lease is broken the lease break period is allowed to elapse during which time no lease operation except break and release can be performed on the blob When a lease is successfully broken the response indicates the interval in seconds until a new lease can be acquired A lease that has been broken can also be released in which case another client may immediately acquire the lease on the blob ', u'Breaks the lease if the blob has an active lease Once a lease is broken it cannot be renewed Any authorized request can break the lease the request is not required to specify a matching lease ID When a lease is broken the lease break period is allowed to elapse during which time no lease operation except break and release can be performed on the blob When a lease is successfully broken the response indicates the interval in seconds until a new lease can be acquired A lease that has been broken can also be released in which case another client may immediately acquire the lease on the blob ']
live,live,VERB,VB,advcl,True,False,29,[u'Record set TTL time to live ', u'Record set TTL time to live ']
mount,mount,VERB,VBN,ROOT,True,False,29,[u'The URL of a git repository to be mounted as a volume', u'The path within the container where the secrets volume should be mounted Must not contain colon ']
encode,encode,VERB,VBD,ROOT,True,False,28,[u'JSON encoded parameters configuration Use file to load from a file For example section NamingService parameter MaxOperationTimeout value 1000 section MaxFileOperationTimeout parameter Max2 value 1000 ', u' A URL of up to 2 KB in length that specifies an Azure file or blob The value should be URL encoded as it would appear in a request URI If the source is in another account the source must either be public or must be authenticated via a shared access signature If the source is public no authentication is required Examples https myaccount file core windows net myshare mydir myfile https otheraccount file core windows net myshare mydir myfile sastoken']
expect,expect,VERB,VBN,amod,True,False,28,[u'The time at which the account should expire If omitted the default is 1 day from the current time For Linux compute nodes the expiryTime has a precision up to a day Expected format is an ISO 8601 timestamp ', u' A DateTime value Azure expects the date value passed in to be UTC If timezone is included any non UTC datetimes will be converted to UTC If a date is passed in without timezone info it is assumed to be UTC Specify this conditional header to copy the blob only if the destination blob has not been modified since the specified date time If the destination blob has been modified the Blob service returns status code 412 Precondition Failed ']
reset,reset,VERB,VBN,ROOT,True,False,26,[u'Update the properties of a Batch job Unspecified properties which can be updated are reset to their defaults ', u'Reset a service principal credential ']
resourcegroup,resourcegroup,VERB,VBZ,compound,True,False,26,[u'scope at which the role assignment or definition applies to e g subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup or subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup providers Microsoft Compute virtualMachines myVM', u'scope at which the role assignment or definition applies to e g subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup or subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup providers Microsoft Compute virtualMachines myVM']
expire,expire,VERB,VB,relcl,True,False,26,[u'The time at which the account should expire If omitted the default is 1 day from the current time For Linux compute nodes the expiryTime has a precision up to a day Expected format is an ISO 8601 timestamp ', u'ISO 8601 or duration time format for Default message timespan to live value This is the duration after which the message expires starting from when the message is sent to Service Bus This is the default value used when TimeToLive is not set on a message itself ']
sign,sign,VERB,VBN,amod,True,False,25,[u'Create a self signed certificate to use for the credential ', u'Output directory for generated self signed X 509 certificate Default is current working directory ']
