text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
every,every,DET,DT,det,True,False,3,[u'Defaults to page for vhd files or block otherwise The setting will override blob types for every file ', u'Enables automatic scaling for a pool You cannot enable automatic scaling on a pool if a resize operation is in progress on the pool If automatic scaling of the pool is currently disabled you must specify a valid autoscale formula as part of the request If automatic scaling of the pool is already enabled you may specify a new autoscale formula and or a new evaluation interval You cannot call this API for the same pool more than once every 30 seconds ']
updates,updates,PROPN,NNP,compound,True,False,12,[u'Updates Rule ', u'Updates the EventHub ConsumerGroup']
namespaces,namespaces,PROPN,NNPS,dobj,True,False,2,[u'List the Event Hubs Namespaces by resource group ', u'Get the Service Bus Namespaces by resource group']
kudu,kudu,NOUN,NN,amod,True,False,3,[u'Perform deployment using the kudu zip push deployment for a webapp ', u'By default all live traces configured by az webapp log config will be shown but you can scope to certain providers folders e g application http etc For details check out https github com projectkudu kudu wiki Diagnostic Log Stream']
upn,upn,PROPN,NNP,nmod,True,False,7,[u' The ACL specification to set on the path in the format default user group other entity id or UPN r w x default user group other entity id or UPN r w x ', u' The ACL specification to set on the path in the format default user group other entity id or UPN r w x default user group other entity id or UPN r w x ']
school,school,NOUN,NN,conj,True,False,1,[u'Request parameters for creating a new work or school account user ']
tlsv1_0,tlsv1_0,NOUN,NN,ROOT,False,False,1,[u'Minimum version of Ssl protocol to be supported on application gateway Possible values include TLSv1_0 TLSv1_1 TLSv1_2 ']
cmd,cmd,NOUN,NN,compound,True,False,8,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
upload,upload,VERB,VB,ROOT,True,False,43,[u'Upload files from a local directory to a blob container ', u'The blob container where the files will be uploaded ']
streamingendpoint,streamingendpoint,PROPN,NNP,pobj,True,False,2,[u'The name of the StreamingEndpoint ', u'The name of the StreamingEndpoint ']
26t02,26t02,NUM,CD,appos,False,False,2,[u'The point in time to restore from ISO8601 format e g 2017 04 26T02 10 00 08 00', u'The point in time to restore from ISO8601 format e g 2017 04 26T02 10 00 08 00']
usermetadata,usermetadata,PROPN,NNP,nsubj,True,False,2,[u'Usermetadata is a placeholder to store user defined string data with maximum length 1024 e g it can be used to store descriptive data such as list of teams and their contact information also user defined configuration settings can be stored ', u'Usermetadata is a placeholder to store user defined string data with maximum length 1024 e g it can be used to store descriptive data such as list of teams and their contact information also user defined configuration settings can be stored ']
generalize,generalize,VERB,VBN,advcl,True,False,4,[u'Mark a VM as generalized allowing it to be imaged for multiple deployments ', u'Deallocate generalize and capture a stopped virtual machine ']
registries,registries,PROPN,NNP,pobj,True,False,2,[u'Manage replications of Azure Container Registries across multiple regions ', u'Manage Azure Container Registries for private registries within Azure ']
force,force,NOUN,NN,ROOT,True,False,9,[u'force to update even if the extension configuration has not changed ', u'If true web app hostname is force registered with DNS']
nextpartitionkey,nextpartitionkey,NOUN,NN,dobj,True,False,1,[u'Space separated list of key value pairs Must contain a nextpartitionkey and a nextrowkey ']
0b1f6471,0b1f6471,NUM,CD,punct,False,False,27,[u'scope at which the role assignment or definition applies to e g subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup or subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup providers Microsoft Compute virtualMachines myVM', u'scope at which the role assignment or definition applies to e g subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup or subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup providers Microsoft Compute virtualMachines myVM']
batch,batch,NOUN,NN,amod,True,False,466,[u'Add a job to a Batch account ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
msdn,msdn,NOUN,NN,compound,True,False,1,[u' Returns only entities that satisfy the specified filter Note that no more than 15 discrete comparisons are permitted within a filter string See http msdn microsoft com en us library windowsazure dd894031 aspx for more information on constructing filters ']
second,second,NOUN,NNS,pobj,True,False,192,[u'Request timeout in seconds Applies to each call to the service ', u'Request timeout in seconds Applies to each call to the service ']
eventhub,eventhub,PROPN,NNP,pobj,True,False,62,[u'Shows the connection strings of Authorizationrule for the Eventhub ', u'Name of EventHub']
vhds,vhds,NOUN,NN,compound,True,False,1,[u'Virtual hard disk URI For example https mystorage blob core windows net vhds d1 vhd']
standard_dsv2,standard_dsv2,NOUN,NN,conj,False,False,1,[u'The size of virtual machines in the pool All virtual machines in a pool are the same size For information about available sizes of virtual machines for Cloud Services pools pools created with cloudServiceConfiguration see Sizes for Cloud Services https azure microsoft com documentation articles cloud services sizes specs Batch supports all Cloud Services VM sizes except ExtraSmall A1V2 and A2V2 For information about available VM sizes for pools using images from the Virtual Machines Marketplace pools created with virtualMachineConfiguration see Sizes for Virtual Machines Linux https azure microsoft com documentation articles virtual machines linux sizes or Sizes for Virtual Machines Windows https azure microsoft com documentation articles virtual machines windows sizes Batch supports all Azure VM sizes except STANDARD_A0 and those with premium storage STANDARD_GS STANDARD_DS and STANDARD_DSV2 series ']
machines,machines,PROPN,NNPS,dobj,True,False,9,[u'Allow Virtual Machines to retrieve certificates stored as secrets from the vault ', u'Allow Virtual Machines to retrieve certificates stored as secrets from the vault ']
even,even,ADV,RB,advmod,True,False,7,[u'force to update even if the extension configuration has not changed ', u'Renews the lease The lease can be renewed if the lease ID specified on the request matches that associated with the blob Note that the lease may be renewed even if it has expired as long as the blob has not been modified or leased again since the expiration of that lease When you renew a lease the lease duration clock resets ']
onalltaskscomplete,onalltaskscomplete,NOUN,NN,dobj,True,False,6,[u'The action the Batch service should take when all tasks in a job created under this schedule are in the completed state Note that if a job contains no tasks then all tasks are considered complete This option is therefore most commonly used with a Job Manager task if you want to use automatic job termination without a Job Manager you should initially set onAllTasksComplete to noaction and update the job properties to set onAllTasksComplete to terminatejob once you have finished adding tasks The default is noaction ', u'The action the Batch service should take when all tasks in a job created under this schedule are in the completed state Note that if a job contains no tasks then all tasks are considered complete This option is therefore most commonly used with a Job Manager task if you want to use automatic job termination without a Job Manager you should initially set onAllTasksComplete to noaction and update the job properties to set onAllTasksComplete to terminatejob once you have finished adding tasks The default is noaction ']
standard_nc6,standard_nc6,NOUN,NN,appos,False,False,1,[u'VM size for cluster nodes e g Standard_NC6 for 1 GPU node ']
specification,specification,NOUN,NN,dobj,True,False,18,[u'A file containing the job specification in JSON format If this parameter is specified all Job Arguments are ignored ', u'A file containing the job update parameter specification in JSON format If this parameter is specified all Job Arguments are ignored ']
4,4,NUM,CD,nsubj,False,False,17,[u'Check whether 10 0 0 4 is available within MyVnet ', u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ']
above,above,ADP,IN,prep,True,False,1,[u'Resizes a file to the specified size If the specified byte value is less than the current size of the file then all ranges above the specified byte value are cleared ']
resilient,resilient,ADJ,JJ,acomp,True,False,2,[u'Specifies whether an image is zone resilient or not Default is false Zone resilient images can be created only in regions that provide Zone Redundant Storage', u'Specifies whether an image is zone resilient or not Default is false Zone resilient images can be created only in regions that provide Zone Redundant Storage']
new,new,ADJ,JJ,amod,True,False,229,[u'Create a new disk ', u'The data disk name optional when create a new disk ']
net,net,ADJ,JJ,amod,True,False,20,[u'Virtual hard disk URI For example https mystorage blob core windows net vhds d1 vhd', u' A URL of up to 2 KB in length that specifies an Azure file or blob The value should be URL encoded as it would appear in a request URI If the source is in another account the source must either be public or must be authenticated via a shared access signature If the source is public no authentication is required Examples https myaccount file core windows net myshare mydir myfile https otheraccount file core windows net myshare mydir myfile sastoken']
metadata,metadata,NOUN,NN,dobj,True,False,156,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ']
yourkeyname,yourkeyname,PROPN,NNP,appos,True,False,4,[u'The Azure Key Vault key identifier of the server key to be made encryption protector An example key identifier is https YourVaultName vault azure net keys YourKeyName 01234567890123456789012345678901 ', u'The Azure Key Vault key identifier of the server key An example key identifier is https YourVaultName vault azure net keys YourKeyName 01234567890123456789012345678901 ']
never,never,ADV,RB,neg,True,False,4,[u'The maximum amount of time to wait before erroring out Default value is to never timeout Any value 0 means never timeout', u'The maximum amount of time to wait before erroring out Default value is to never timeout Any value 0 means never timeout']
here,here,ADV,RB,advmod,True,False,2,[u'Blob naming convention for archive e g Namespace EventHub PartitionId Year Month Day Hour Minute Second Here all the parameters Namespace EventHub etc are mandatory irrespective of order', u'Blob naming convention for archive e g Namespace EventHub PartitionId Year Month Day Hour Minute Second Here all the parameters Namespace EventHub etc are mandatory irrespective of order']
protection,protection,NOUN,NN,dobj,True,False,22,[u'Enable VM protection for all subnets in the VNet ', u'Control whether DDoS protection is enabled ']
studio,studio,PROPN,NNP,compound,True,False,4,[u'URL of the Visual Studio Team Services VSTS project to use for continuous delivery URL should be in format https accountname visualstudio com projectname ', u'To create a new Visual Studio Team Services VSTS account if it doesn t exist already']
azureuser,azureuser,NOUN,NN,nsubj,True,False,2,[u'Public key path or key contents to install on node VMs for SSH access For example ssh rsa AAAAB snip UcyupgH azureuser linuxvm ', u'Configure all linux machines with the SSH RSA public key string Your key should include three parts for example ssh rsa AAAAB snip UcyupgH azureuser linuxvm']
active,active,ADJ,JJ,amod,True,False,111,[u' Required if the blob has an active lease ', u'Specify a single public IP name or ID for an active standby gateway Specify two space separated public IPs for an active active gateway ']
path,path,NOUN,NNS,dobj,True,False,471,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
100,100,NUM,CD,nummod,False,False,13,[u'Weight 0 100 added to routes learned through BGP peering ', u'Rule priority between 100 highest priority and 4096 lowest priority Must be unique for each rule in the collection ']
placeholder,placeholder,NOUN,NN,attr,True,False,3,[u'Usermetadata is a placeholder to store user defined string data with maximum length 1024 e g it can be used to store descriptive data such as list of teams and their contact information also user defined configuration settings can be stored ', u' When the request includes this parameter the operation returns a class azure storage blob models BlobPrefix element in the result list that acts as a placeholder for all blobs whose names begin with the same substring up to the appearance of the delimiter character The delimiter may be a single character or a string ']
balance,balance,VERB,VBG,advcl,True,False,1,[u'Manage application level routing and load balancing services ']
granting,granting,NOUN,NN,dobj,True,False,1,[u'Permanently deletes the specified deleted certificate The PurgeDeletedCertificate operation performs an irreversible deletion of the specified certificate without possibility for recovery The operation is not available if the recovery level does not specify Purgeable Requires the explicit granting of the purge permission ']
k,k,NOUN,NN,nmod,True,False,1,[u'used to created a new public ip for the load balancer a k a public facing Load balancer']
2048,2048,NUM,CD,conj,False,False,1,[u'The key size in bytes For example 1024 or 2048 ']
6379,6379,NUM,CD,appos,False,False,1,[u'If the value is true then the non ssl redis server port 6379 will be enabled ']
visibility_timeout,visibility_timeout,NOUN,NN,advmod,False,False,2,[u' If not specified the default value is 0 Specifies the new visibility timeout value in seconds relative to server time The value must be larger than or equal to 0 and cannot be larger than 7 days The visibility timeout of a message cannot be set to a value later than the expiry time visibility_timeout should be set to a value smaller than the time to live value ', u'Retrieves one or more messages from the front of the queue When a message is retrieved from the queue the response includes the message content and a pop_receipt value which is required to delete the message The message is not automatically deleted from the queue but after it has been retrieved it is not visible to other clients for the time interval specified by the visibility_timeout parameter If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
namepsace,namepsace,PROPN,NNP,pobj,True,False,3,[u'List the Topic by Service Bus Namepsace', u'List the EventHub by Namepsace']
permit,permit,NOUN,NN,compound,True,False,19,[u'Only permit requests made with the HTTPS protocol If omitted requests from both the HTTP and HTTPS protocol are permitted ', u'Only permit requests made with the HTTPS protocol If omitted requests from both the HTTP and HTTPS protocol are permitted ']
aka,aka,ADP,IN,prep,True,False,15,[u'Create a security rule using service tags For more details visit https aka ms servicetags', u'the resource namespace aka provider ']
changes,changes,PROPN,NNP,pobj,True,False,2,[u'A list of application packages to be installed on each compute node in the pool Changes to application package references affect all new compute nodes joining the pool but do not affect compute nodes that are already in the pool until they are rebooted or reimaged If this element is present it replaces any existing application package references If you specify an empty collection then all application package references are removed from the pool If omitted any existing application package references are left unchanged Space separated application IDs with optional version in id version format ', u'A list of application packages to be installed on each compute node in the pool The list replaces any existing application package references on the pool Changes to application package references affect all new compute nodes joining the pool but do not affect compute nodes that are already in the pool until they are rebooted or reimaged If omitted or if you specify an empty collection any existing application packages references are removed from the pool ']
synchroniz,synchroniz,NOUN,NNS,nsubj,True,False,1,[u'Synchronizes access keys for the auto storage account configured for the specified Batch account ']
secure,secure,ADJ,JJ,amod,True,False,4,[u'Use an Azure Virtual Network Gateway to establish secure cross premises connectivity ', u'Gets a server s secure connection policy ']
logout,logout,ADP,IN,xcomp,True,False,1,[u'account user if missing logout the current active account']
generate_shared_access_signature,generate_shared_access_signature,NOUN,NN,pobj,False,False,2,[u' Shared access signature token created with generate_shared_access_signature ', u' Shared access signature token created with generate_shared_access_signature ']
replace,replace,VERB,VB,ROOT,True,False,16,[u'Replace the existing access control list for a file or folder ', u'Updates an existing entity in a table Throws if the entity does not exist The update_entity operation replaces the entire entity and can be used to remove properties ']
visible,visible,ADJ,JJ,acomp,True,False,6,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ', u'Adds a new message to the back of the message queue The visibility timeout specifies the time that the message will be invisible After the timeout expires the message will become visible If a visibility timeout is not specified the default value of 0 is used The message time to live specifies how long a message will remain in the queue The message will be deleted from the queue when the time to live period expires If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
unix,unix,PROPN,NNP,conj,True,False,4,[u'Specifies that connections to the given TCP port or Unix socket on the local client host are to be forwarded to the given host and port or Unix socket on the remote side e g L 8080 localhost 8080', u'Specifies that connections to the given TCP port or Unix socket on the local client host are to be forwarded to the given host and port or Unix socket on the remote side e g L 8080 localhost 8080']
txt,txt,PROPN,NNP,compound,True,False,31,[u'Create an empty TXT record set ', u'Create an empty TXT record set ']
unit,unit,NOUN,NN,compound,True,False,25,[u'0 based logical unit number LUN Max value depends on the Virtual Machine size ', u'Number of message units This property is only applicable to namespaces of Premium SKU']
would,would,VERB,MD,ROOT,True,False,876,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'The id of an existing pool All the tasks of the job will run on the specified pool ']
browse,browse,VERB,VB,conj,True,False,1,[u'Launch a proxy and browse the Kubernetes web UI ']
ddthh,ddthh,PROPN,NNP,compound,True,False,1,[u'The point in time of the source database that will be restored to create the new database Must be greater than or equal to the source database s earliestRestoreDate value Time should be in following format YYYY MM DDTHH MM SS ']
negative,negative,ADJ,JJ,amod,True,False,9,[u'Specifies a non negative integer n that limits the number of items returned from a collection The service returns the number of available items up to but not greater than the specified value n ', u'Specifies a non negative integer n that excludes the first n items of the queried collection from the result The service returns items starting at position n 1 ']
paramater,paramater,NOUN,NNS,pobj,True,False,4,[u'Create a PostgreSQL server with only required paramaters in North Europe ', u'Create a PostgreSQL server with all paramaters set ']
call,call,NOUN,NN,pobj,True,False,138,[u'Request timeout in seconds Applies to each call to the service ', u'Request timeout in seconds Applies to each call to the service ']
therefore,therefore,ADV,RB,advmod,True,False,15,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
dns,dns,NOUN,NN,compound,True,False,110,[u'Manage a server s DNS aliases ', u'Space separated list of DNS server IP addresses ']
listproperty,listproperty,NOUN,NN,compound,True,False,114,[u'Add an object to a list of objects by specifying a path and key value pairs Example add property listProperty key value string or JSON string ', u'Add an object to a list of objects by specifying a path and key value pairs Example add property listProperty key value string or JSON string ']
preview,preview,ADV,RB,compound,True,False,84,[u' PREVIEW Manage IoT device messaging ', u' PREVIEW Manage Data Lake Analytics catalog table valued functions ']
type,type,NOUN,NN,ROOT,True,False,279,[u'Resource type Ex resC ', u'Resource type Ex resC ']
until,until,ADP,IN,mark,True,False,104,[u'Place the CLI in a waiting state until a deployment condition is met ', u'Wait until the condition satisfies a custom JMESPath query E g provisioningState InProgress instanceView statuses code PowerState running ']
successful,successful,ADJ,JJ,acomp,True,False,1,[u'Queue a local context validating the build is successful without pushing to the registry ']
expose,expose,VERB,VB,xcomp,True,False,6,[u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ', u'Space separated list of response headers to expose to CORS clients ']
iso8601,iso8601,PROPN,NNP,compound,False,False,3,[u'Time span over which to apply aggregation in nDnHnMnS shorthand or full ISO8601 format ', u'The point in time to restore from ISO8601 format e g 2017 04 26T02 10 00 08 00']
phone,phone,NOUN,NN,compound,True,False,2,[u'Contact phone number ', u'Amin phone number ']
seekable,seekable,ADJ,JJ,amod,True,False,2,[u' If set to 2 or greater an initial get will be done for the first self MAX_SINGLE_GET_SIZE bytes of the file If this is the entire file the method returns at this point If it is not it will download the remaining data parallel using the number of threads equal to max_connections Each chunk will be of size self MAX_CHUNK_GET_SIZE If set to 1 a single large get request will be done This is not generally recommended but available if very few threads should be used network requests are very expensive or a non seekable stream prevents parallel download This may also be valuable if the file is being concurrently modified to enforce atomicity or if many files are expected to be empty as an extra request is required for empty files if max_connections is greater than 1 ', u' If set to 2 or greater an initial get will be done for the first self MAX_SINGLE_GET_SIZE bytes of the blob If this is the entire blob the method returns at this point If it is not it will download the remaining data parallel using the number of threads equal to max_connections Each chunk will be of size self MAX_CHUNK_GET_SIZE If set to 1 a single large get request will be done This is not generally recommended but available if very few threads should be used network requests are very expensive or a non seekable stream prevents parallel download This may also be useful if many blobs are expected to be empty as an extra request is required for empty blobs if max_connections is greater than 1 ']
hold,hold,VERB,VBZ,ROOT,True,False,7,[u'A boolean value that indicates whether Express Entities are enabled An express topic holds a message in memory temporarily before writing it to persistent storage ', u'A boolean value that indicates whether Express Entities are enabled An express topic holds a message in memory temporarily before writing it to persistent storage ']
must,must,VERB,MD,aux,True,False,594,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'A Shared Access Signature SAS Must be used in conjunction with storage account name Environment variable AZURE_STORAGE_SAS_TOKEN']
join,join,VERB,VB,ROOT,True,False,4,[u'Join files in a Data Lake Store account into one file ', u'The space separated list of files in the Data Lake Store account to join ']
mc,mc,PROPN,NNP,compound,True,False,4,[u'The resource group to create the ACI container groups Use the MC_ resource group if it is not specified ', u'The location to create the ACI container groups Use the location of the MC_ resource group if it is not specified ']
mb,mb,NOUN,NN,appos,True,False,10,[u'If compression is enabled content will be served as compressed if user requests for a compressed version Content won t be compressed on CDN when requested content is smaller than 1 byte or larger than 1 MB ', u'If compression is enabled content will be served as compressed if user requests for a compressed version Content won t be compressed on CDN when requested content is smaller than 1 byte or larger than 1 MB ']
mm,mm,PROPN,NNP,compound,True,False,13,[u'End date YYYY MM DD in UTC Only needed for daily grain and if specified also requires start date ', u'Start date YYYY MM DD in UTC Only needed for daily grain and if specified also requires end date ']
setup,setup,NOUN,NN,compound,True,False,5,[u'List files generated by the cluster s node setup task ', u'Relative path of a subfolder inside of the node setup task output directory ']
work,work,VERB,VBG,compound,True,False,30,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ']
mi,mi,NOUN,NN,dobj,True,False,1,[u'Updates a mi with specified parameters and with identity']
spec,spec,NOUN,NNS,ROOT,True,False,1,[u'The size of virtual machines in the pool All virtual machines in a pool are the same size For information about available sizes of virtual machines for Cloud Services pools pools created with cloudServiceConfiguration see Sizes for Cloud Services https azure microsoft com documentation articles cloud services sizes specs Batch supports all Cloud Services VM sizes except ExtraSmall A1V2 and A2V2 For information about available VM sizes for pools using images from the Virtual Machines Marketplace pools created with virtualMachineConfiguration see Sizes for Virtual Machines Linux https azure microsoft com documentation articles virtual machines linux sizes or Sizes for Virtual Machines Windows https azure microsoft com documentation articles virtual machines windows sizes Batch supports all Azure VM sizes except STANDARD_A0 and those with premium storage STANDARD_GS STANDARD_DS and STANDARD_DSV2 series ']
