text,length, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples,
sz,2,sz,PROPN,NNP,compound,True,False,2,[u'The end time of the query in the format of Y m dT H M SZ e g 2000 12 31T12 59 59Z Defaults to the current time', u'The start time of the query in the format of Y m dT H M SZ e g 2000 12 31T12 59 59Z Defaults to 1 Hour prior to the current time']
ss,2,ss,PROPN,NNP,appos,True,False,1,[u'The point in time of the source database that will be restored to create the new database Must be greater than or equal to the source database s earliestRestoreDate value Time should be in following format YYYY MM DDTHH MM SS '],
sh,2,sh,X,XX,compound,True,False,9,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
sa,2,sa,PROPN,NNP,compound,True,False,4,[u'Required The Pfs Groups used in IKE Phase 2 for new child SA Possible values include None PFS1 PFS2 PFS2048 ECP256 ECP384 PFS24 PFS14 PFSMM ', u'Required The IPSec Security Association also called Quick Mode or Phase 2 SA lifetime in seconds for a site to site VPN tunnel ']
en,2,en,ADP,IN,advmod,True,False,25,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The formula for the desired number of compute nodes in the pool The formula is validated and its results calculated but it is not applied to the pool To apply the formula to the pool Enable automatic scaling on a pool For more information about specifying this formula see Automatically scale compute nodes in an Azure Batch pool https azure microsoft com en us documentation articles batch automatic scaling ']
eg,2,eg,ADP,IN,prep,True,False,2,[u'A string used to reduce the set of metric data returned eg BlobType eq ', u'The interval of the metric query In ISO 8601 duration format eg PT1M ']
ex,2,ex,PROPN,NNP,compound,True,False,111,[u'Provider namespace Ex Microsoft Provider ', u'The parent path Ex resA myA resB myB ']
eu,2,eu,PROPN,NNP,nmod,True,False,1,[u'Requests that a backup of the specified key be downloaded to the client The Key Backup operation exports a key from Azure Key Vault in a protected form Note that this operation does NOT return key material in a form that can be used outside the Azure Key Vault system the returned key material is either protected to a Azure Key Vault HSM or to Azure Key Vault itself The intent of this operation is to allow a client to GENERATE a key in one Azure Key Vault instance BACKUP the key and then RESTORE it into another Azure Key Vault instance The BACKUP operation may be used to export in protected form any key type from Azure Key Vault Individual versions of a key cannot be backed up BACKUP RESTORE can be performed within geographical boundaries only meaning that a BACKUP from one geographical area cannot be restored to another geographical area For example a backup from the US geographical area cannot be restored in an EU geographical area '],
eq,2,eq,NOUN,NN,nmod,True,False,3,[u'May be used to filter billing periods by billingPeriodEndDate The filter supports eq lt gt le ge and and It does not currently support ne or or not ', u'The filter to apply on the operation For example you can use filter provisioningState eq state ']
js,2,js,NOUN,NN,compound,True,False,1,[u'The startup file for linux hosted web apps e g process json for Node js web'],
ca,2,ca,PROPN,NNP,compound,True,False,4,[u'Update a CA certificate in an Azure IoT Hub device provisioning service by uploading a new PEM file ', u'Uploads a CA certificate PEM file to an IoT hub ']
on,2,on,ADP,IN,prep,True,False,537,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
of,2,of,ADP,IN,prep,True,False,5934,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
os,2,os,X,FW,prep,True,False,42,[u'enable disable disk write accelerator Use singular value true false to apply across or specify individual disks e g os true 1 true 2 true for os disk and data disks with lun of 1 2', u'enable disable disk write accelerator Use singular value true false to apply across or specify individual disks e g os true 1 true 2 true for os disk and data disks with lun of 1 2']
or,2,or,CCONJ,CC,cc,True,False,2067,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ']
ad,2,ad,NOUN,NN,compound,True,False,14,[u'The unique ID of the Azure AD administrator ', u'Display name of the Azure AD administrator user or group ']
ai,2,ai,PROPN,NNP,compound,True,False,5,[u'Manage Batch AI resources ', u'ARM ID of a virtual network subnet to put the file server in If not provided via command line or in the configuration file Batch AI will create a new virtual network and subnet under your subscription ']
ak,2,ak,NOUN,NNS,compound,True,False,1,[u'Number of nodes in the Kubernetes node pool After creating a cluster you can change the size of its node pool with az aks scale '],
as,2,as,ADP,IN,prep,True,False,202,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
at,2,at,ADP,IN,prep,True,False,118,[u'Get policy events at current subscription scope created in the last day ', u'Get policy events at resource group scope in current subscription ']
az,2,az,PROPN,NNP,dobj,True,False,1505,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Name of resource group You can configure the default group using az configure defaults group name ']
gt,2,gt,X,FW,nmod,True,False,1,[u'May be used to filter billing periods by billingPeriodEndDate The filter supports eq lt gt le ge and and It does not currently support ne or or not '],
tb,2,tb,PROPN,NNP,compound,True,False,3,[u' Specifies the maximum size of the share in gigabytes Must be greater than 0 and less than or equal to 5TB 5120 ', u' Specifies the maximum size of the share in gigabytes Must be greater than 0 and less than or equal to 5 TB 5120 GB ']
vm,2,vm,PROPN,NNP,pobj,True,False,321,[u'Get the details of a VM ', u'The name of the Virtual Machine You can configure the default using az configure defaults vm name ']
kb,2,kb,PROPN,NNP,pobj,True,False,6,[u' A URL of up to 2 KB in length that specifies an Azure file or blob The value should be URL encoded as it would appear in a request URI If the source is in another account the source must either be public or must be authenticated via a shared access signature If the source is public no authentication is required Examples https myaccount file core windows net myshare mydir myfile https otheraccount file core windows net myshare mydir myfile sastoken', u'Message content up to 64KB in size ']
by,2,by,ADP,IN,prep,True,False,677,[u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ', u'Batch account name Alternatively set by environment variable AZURE_BATCH_ACCOUNT']
us,2,us,PROPN,NNP,compound,True,False,19,[u'List all publishers in the West US region ', u'List the provisioned network resources in East US region within a subscription ']
ui,2,ui,NOUN,NN,compound,True,False,2,[u'the managed application definition create ui definition', u'Launch a proxy and browse the Kubernetes web UI ']
ge,2,ge,X,FW,dobj,True,False,1,[u'May be used to filter billing periods by billingPeriodEndDate The filter supports eq lt gt le ge and and It does not currently support ne or or not '],
gb,2,gb,PROPN,NNP,nmod,True,False,21,[u'Attach a new default sized 1023 GB unmanaged data disk to a VM ', u'size in GB ']
le,2,le,X,FW,compound,True,False,1,[u'May be used to filter billing periods by billingPeriodEndDate The filter supports eq lt gt le ge and and It does not currently support ne or or not '],
lb,2,lb,ADP,IN,nummod,True,False,6,[u'Space separated list of names or IDs of load balancer address pools to associate with the NIC If names are used lb name must be specified ', u'Space separated list of names or IDs of load balancer inbound NAT rules to associate with the NIC If names are used lb name must be specified ']
lt,2,lt,X,FW,nmod,True,False,1,[u'May be used to filter billing periods by billingPeriodEndDate The filter supports eq lt gt le ge and and It does not currently support ne or or not '],
sp,2,sp,NOUN,NN,pobj,True,False,2,[u'The app name or app URI to associate the RBAC with If not present a default name like amsaccountname access sp will be generated ', u'The app name or app URI to associate the RBAC with If not present a default name like amsaccountname access sp will be generated ']
co,2,co,PROPN,NNP,compound,True,False,3,[u'Send email to subscription co administrators on scaling ', u'list default role assignments for subscription classic administrators aka co admins']
vs,2,vs,ADP,IN,aux,True,False,2,[u'custom roles only vs build in ones ', u'custom roles only vs build in ones ']
ha,2,ha,PROPN,NNP,compound,True,False,1,[u'Create an HA ports load balancing rule that assigns a frontend IP and port to use all available backend IPs in a pool on the same port '],
upn,3,upn,PROPN,NNP,nmod,True,False,7,[u' The ACL specification to set on the path in the format default user group other entity id or UPN r w x default user group other entity id or UPN r w x ', u' The ACL specification to set on the path in the format default user group other entity id or UPN r w x default user group other entity id or UPN r w x ']
cmd,3,cmd,NOUN,NN,compound,True,False,8,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
aka,3,aka,ADP,IN,prep,True,False,15,[u'Create a security rule using service tags For more details visit https aka ms servicetags', u'the resource namespace aka provider ']
txt,3,txt,PROPN,NNP,compound,True,False,31,[u'Create an empty TXT record set ', u'Create an empty TXT record set ']
dns,3,dns,NOUN,NN,compound,True,False,110,[u'Manage a server s DNS aliases ', u'Space separated list of DNS server IP addresses ']
nfs,3,nfs,PROPN,NNP,compound,True,False,8,[u'Optional password for the admin user created on the NFS node ', u'Name of admin user account to be created on NFS node If the value is not provided and no user configuration is provided in the config file current user s name will be used ']
end,3,end,NOUN,NN,compound,True,False,54,[u'ISO 8601 formatted timestamp specifying the end time of the interval to query ', u'ISO 8601 formatted timestamp specifying the end time of the interval to query ']
lab,3,lab,NOUN,NN,pobj,True,False,78,[u'Manage secrets of an Azure DevTest Lab ', u'Manage DevTest Lab artifact sources ']
cli,3,cli,PROPN,NNP,dobj,True,False,27,[u'Place the CLI in a waiting state until a deployment condition is met ', u'Place the CLI in a waiting state until a condition of the ExpressRoute is met ']
asg,3,asg,NOUN,NNS,dobj,True,False,1,[u'Manage application security groups ASGs '],
smb,3,smb,PROPN,NNP,nmod,True,False,2,[u'Upload a file to a share that uses the SMB 3 0 protocol ', u'Manage file shares that use the SMB 3 0 protocol ']
ist,3,ist,X,FW,npadvmod,True,False,6,[u'Allowed values d elete l ist r ead w rite Can be combined', u'Allowed values d elete l ist r ead w rite Can be combined']
iso,3,iso,NOUN,NN,nmod,True,False,57,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'ISO 8601 formatted timestamp specifying the start time of the interval to query ']
udp,3,udp,PROPN,NNP,advcl,True,False,1,[u'Update a load balancing rule to change the protocol to UDP '],
don,3,don,PROPN,NNP,compound,True,False,2,[u'Don t launch a web browser after establishing port forwarding ', u'Don t add permissions for the current user service principal in the new vault ']
doc,3,doc,NOUN,NNS,dobj,True,False,20,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'An OData filter clause For more information on constructing this filter see https docs microsoft com en us rest api batchservice odata filters in batch list pools ']
doe,3,doe,X,FW,compound,True,False,1,[u'user principal name e g john doe contoso com'],
dop,3,dop,NOUN,NN,nsubjpass,True,False,4,[u'The minimum priority allowed per job for this policy At least one of min priority per job and max dop per job must be specified ', u'The maximum degree of parallelism allowed per job for this policy At least one of min priority per job and max dop per job must be specified ']
sum,3,sum,NOUN,NN,dobj,True,False,1,[u'The aggregation to use for sorting results and the direction of the sort Only one order can be specified Examples sum asc '],
bar,3,bar,NOUN,NN,pobj,True,False,6,[u'Space separated list of paths to associate with the rule Valid paths start and end with ex bar ', u'Space separated list of paths to associate with the rule Valid paths start and end with ex bar ']
ile,3,ile,NOUN,NN,nmod,True,False,3,[u'The storage service s to remove rules from Allowed options are b lob f ile q ueue t able Can be combined ', u'The storage service s to add rules to Allowed options are b lob f ile q ueue t able Can be combined ']
com,3,com,NOUN,NN,ROOT,True,False,42,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The formula for the desired number of compute nodes in the pool The formula is validated and its results calculated but it is not applied to the pool To apply the formula to the pool Enable automatic scaling on a pool For more information about specifying this formula see Automatically scale compute nodes in an Azure Batch pool https azure microsoft com en us documentation articles batch automatic scaling ']
col,3,col,NOUN,NN,compound,True,False,1,[u'The col size for the command output'],
nic,3,nic,PROPN,NNP,appos,True,False,60,[u'The network interface NIC ', u'Get the internal domain name suffix of a NIC ']
bit,3,bit,NOUN,NNS,compound,True,False,1,[u'use 32 bits worker process or not'],
www,3,www,NOUN,NN,compound,True,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively '],
foo,3,foo,NOUN,NN,compound,True,False,16,[u'repository url to pull the latest source from e g https github com foo foo web', u'repository url to pull the latest source from e g https github com foo foo web']
hsm,3,hsm,PROPN,NNP,pobj,True,False,2,[u'Import a private key Supports importing base64 encoded private keys from PEM files Supports importing BYOK keys into HSM for premium KeyVaults ', u'Requests that a backup of the specified key be downloaded to the client The Key Backup operation exports a key from Azure Key Vault in a protected form Note that this operation does NOT return key material in a form that can be used outside the Azure Key Vault system the returned key material is either protected to a Azure Key Vault HSM or to Azure Key Vault itself The intent of this operation is to allow a client to GENERATE a key in one Azure Key Vault instance BACKUP the key and then RESTORE it into another Azure Key Vault instance The BACKUP operation may be used to export in protected form any key type from Azure Key Vault Individual versions of a key cannot be backed up BACKUP RESTORE can be performed within geographical boundaries only meaning that a BACKUP from one geographical area cannot be restored to another geographical area For example a backup from the US geographical area cannot be restored in an EU geographical area ']
soa,3,soa,PROPN,NNP,compound,True,False,5,[u'Update properties of an SOA record ', u'Update properties of an SOA record ']
git,3,git,PROPN,NNP,compound,True,False,25,[u'Git access token required for auto sync', u'Manage build definitions which can be triggered by git commits or base image updates ']
waf,3,waf,PROPN,NNP,dobj,True,False,2,[u'Configure WAF on an application gateway in detection mode with default values', u'Get information on available WAF rule sets rule groups and rule IDs ']
way,3,way,NOUN,NN,ROOT,True,False,2,[u'The way metrics are polled across instances ', u' PREVIEW Priority Use Low to run short lived workloads in a cost effective way']
sql,3,sql,PROPN,NNP,nmod,True,False,118,[u'Name of the Azure SQL managed instance ', u'The name of the Azure SQL Managed Database ']
row,3,row,NOUN,NN,compound,True,False,3,[u' The minimum row key accessible with this shared access signature startpk must accompany startrk Key values are inclusive If omitted there is no lower bound on the table entities that can be accessed ', u' The maximum row key accessible with this shared access signature endpk must accompany endrk Key values are inclusive If omitted there is no upper bound on the table entities that can be accessed ']
vpn,3,vpn,PROPN,NNP,compound,True,False,42,[u'VPN routing type ', u'Get the details of a VPN connection ']
dev,3,dev,PROPN,NNP,compound,True,False,9,[u' PREVIEW Remove Azure Dev Spaces from a managed Kubernetes cluster ', u'Remove Azure Dev Spaces from a managed Kubernetes cluster ']
caa,3,caa,PROPN,NNP,compound,True,False,17,[u'List all CAA record sets in a zone ', u'List all CAA record sets in a zone ']
map,3,map,NOUN,NN,pobj,True,False,45,[u'Get the details of a URL path map ', u'The name of the URL path map ']
max,3,max,PROPN,NNP,compound,True,False,27,[u'0 based logical unit number LUN Max value depends on the Virtual Machine size ', u'The max storage size If no unit is specified defaults to bytes B ']
ttl,3,ttl,PROPN,NNP,compound,True,False,13,[u'Record set TTL time to live ', u'Default TTL']
hub,3,hub,PROPN,NNP,compound,True,False,178,[u'IoT Hub name ', u'Update an Azure IoT Hub device provisioning service ']
sas,3,sas,PROPN,NNP,compound,True,False,303,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'A Shared Access Signature SAS Must be used in conjunction with storage account name Environment variable AZURE_STORAGE_SAS_TOKEN']
xml,3,xml,NOUN,NN,compound,True,False,3,[u'Enables xml output format ', u'Create a service principal with password and configure its access to an Azure Media Services account Output will be in xml format ']
ssl,3,ssl,PROPN,NNP,nmod,True,False,66,[u'Gets SSL predefined policy with the specified policy name ', u'Name of Ssl predefined policy ']
ssh,3,ssh,NOUN,NN,nmod,True,False,58,[u'The SSH public key that can be used for remote login to the compute node The public key should be compatible with OpenSSH encoding and should be base 64 encoded This property can be specified only for Linux nodes If this is specified for a Windows node then the Batch service rejects the request if you are calling the REST API directly the HTTP status code is 400 Bad Request ', u'Use CLI s old authentication flow based on device code CLI will also use this if it can t launch a browser in your behalf e g in remote SSH or Cloud Shell']
geo,3,geo,PROPN,NNP,compound,True,False,63,[u'Name of Geo Disaster Recovery Configuration Alias', u'Manage Azure Event Hubs namespaces eventhubs consumergroups and geo recovery configurations Alias']
pop,3,pop,NOUN,NN,compound,True,False,2,[u' A valid pop receipt value returned from an earlier call to the func get_messages or func update_message ', u' A valid pop receipt value returned from an earlier call to the func get_messages or func update_message operation ']
pod,3,pod,NOUN,NN,compound,True,False,3,[u'A CIDR notation IP range from which to assign pod IPs when kubenet is used ', u'The maximum number of pods deployable to a node ']
aci,3,aci,PROPN,NNP,compound,True,False,23,[u' PREVIEW Upgrade the ACI Connector on a managed Kubernetes cluster ', u'The resource group to create the ACI container groups Use the MC_ resource group if it is not specified ']
acl,3,acl,PROPN,NNP,pobj,True,False,15,[u'The name of a stored access policy within the table s ACL ', u'The name of a stored access policy within the container s ACL ']
acs,3,acs,X,FW,compound,True,False,11,[u'Name of the container service You can configure the default using az configure defaults acs name ', u'Name of the container service You can configure the default using az configure defaults acs name ']
acr,3,acr,PROPN,NNP,compound,True,False,38,[u'The name of the container registry You can configure the default registry name using az configure defaults acr registry name ', u'The name of the container registry You can configure the default registry name using az configure defaults acr registry name ']
srv,3,srv,PROPN,NNP,compound,True,False,15,[u'Get the details of an SRV record set ', u'Get the details of an SRV record set ']
lob,3,lob,NOUN,NN,attr,True,False,7,[u'The storage service s to remove rules from Allowed options are b lob f ile q ueue t able Can be combined ', u'The storage services from which to retrieve metrics info b lob q ueue t able Can be combined ']
lot,3,lot,NOUN,NN,npadvmod,True,False,1,[u'Encrypts formats data disks instead of encrypting them Encrypt formatting is a lot faster than in place encryption but wipes out the partition getting encrypt formatted '],
vhd,3,vhd,NOUN,NN,dobj,True,False,11,[u'Virtual hard disk URI For example https mystorage blob core windows net vhds d1 vhd', u'Defaults to page for vhd files or block otherwise The setting will override blob types for every file ']
ptr,3,ptr,NOUN,NN,compound,True,False,17,[u'Create an empty PTR record set ', u'Create an empty PTR record set ']
vip,3,vip,NOUN,NN,compound,True,False,1,[u'Virtual network gateway vip address supplied to the begin reset of the active active feature enabled gateway '],
der,3,der,PROPN,NNP,nsubj,True,False,2,[u'Encoding of the certificate DER will create a binary DER formatted x509 certificate and PEM will create a base64 PEM x509 certificate ', u'Encoding of the certificate DER will create a binary DER formatted x509 certificate and PEM will create a base64 PEM x509 certificate ']
des,3,des,PROPN,NNP,compound,True,False,2,[u'Required The IPSec encryption algorithm IKE phase 1 Possible values include None DES DES3 AES128 AES192 AES256 GCMAES128 GCMAES192 GCMAES256 ', u'Required The IKE encryption algorithm IKE phase 2 Possible values include DES DES3 AES128 AES192 AES256 GCMAES256 GCMAES128 ']
css,3,css,NOUN,NN,conj,True,False,2,[u'Pre load Javascript and CSS content for an endpoint ', u'Purge pre loaded Javascript and CSS content ']
cer,3,cer,NOUN,NN,compound,True,False,1,[u'The certificate file cer file or pfx file '],
ftp,3,ftp,PROPN,NNP,dobj,True,False,2,[u'Set FTP and git deployment credentials for all apps ', u'Set FTP and git deployment credentials for all apps ']
pub,3,pub,NOUN,NN,dobj,True,False,2,[u'Optional SSH public key value or path If ommited and no password specified default SSH key ssh id_rsa pub will be used ', u'Optional SSH public key value or path If ommited and no password specified default SSH key ssh id_rsa pub will be used ']
asc,3,asc,NOUN,NN,pobj,True,False,12,[u'OrderBy clause One or more comma separated expressions with an optional asc the default or desc depending on the order you d like the values sorted e g Categories orderby CategoryName desc Optional ', u'OrderBy clause One or more comma separated expressions with an optional asc the default or desc depending on the order you d like the values sorted e g Categories orderby CategoryName desc Optional ']
put,3,put,PROPN,NNP,compound,True,False,4,[u'The action the Batch service should take when all tasks in the job are in the completed state If omitted the completion behavior is set to noaction If the current value is terminatejob this is an error because a job s completion behavior may not be changed from terminatejob to noaction You may not change the value from terminatejob to noaction that is once you have engaged automatic job termination you cannot turn it off again If you try to do this the request fails and Batch returns status code 400 Bad Request and an invalid property value error response If you do not specify this element in a PUT request it is equivalent to passing noaction This is an error if the current value is terminatejob ', u'Create a device authenticating with a self signed X 509 certificate which is put into to the current directory ']
gpu,3,gpu,PROPN,NNP,compound,True,False,3,[u'Report a GPU state for a job s node ', u'VM size for cluster nodes e g Standard_NC6 for 1 GPU node ']
aad,3,aad,PROPN,NNP,compound,True,False,15,[u'Manage applications with AAD Graph ', u'The AAD tenant must provide when using service principals ']
dtu,3,dtu,NOUN,NNS,pobj,True,False,18,[u'The capacity component of the sku in integer number of DTUs or vcores ', u'The minumum capacity in DTUs or vcores each database is guaranteed ']
cdn,3,cdn,PROPN,NNP,compound,True,False,75,[u'Create a new CDN profile ', u'The pricing tier defines a CDN provider feature list and rate of the CDN profile Defaults to Standard_Akamai ']
arp,3,arp,PROPN,NNP,compound,True,False,2,[u'Show the current Address Resolution Protocol ARP table of an ExpressRoute circuit ', u'Show the current Address Resolution Protocol ARP table of an ExpressRoute circuit ']
set,3,set,NOUN,NNS,compound,True,False,1031,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Batch account name Alternatively set by environment variable AZURE_BATCH_ACCOUNT']
seq,3,seq,NOUN,NNS,attr,True,False,16,[u'The pattern used for globbing files or blobs in the source The supported patterns are seq and seq ', u'The pattern used for globbing files or blobs in the source The supported patterns are seq and seq ']
sec,3,sec,NOUN,NNS,advmod,True,False,5,[u'The socket timeout secs used by the service to regulate data flow ', u'The socket timeout secs used by the service to regulate data flow ']
arm,3,arm,PROPN,NNP,compound,True,False,25,[u'Get the details of an ARM template in a lab ', u'Name if within the same resource group or ARM Id of Primary Secondary eventhub namespace name which is part of GEO DR pairing']
bin,3,bin,PROPN,NNP,conj,True,False,9,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
