text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
peek_message,peek_message,NOUN,NNS,pobj,False,False,1,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
ptr,ptr,NOUN,NN,compound,True,False,8,[u'Create an empty PTR record set ', u'Update a PTR record set ']
retention,retention,NOUN,NN,compound,True,False,5,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Deletes a task from the specified job When a task is deleted all of the files in its directory on the compute node where it ran are also deleted regardless of the retention time For multi instance tasks the delete task operation applies synchronously to the primary task subtasks and their files are then deleted asynchronously in the background ']
 , ,SPACE,,,False,False,58,[u' PREVIEW Manage IoT device messaging ', u' PREVIEW Manage Data Lake Analytics catalog table valued functions ']
hold,hold,VERB,VB,xcomp,True,False,1,[u'Online storage entity in Azure used to hold data such as backup copies recovery points and backup policies ']
number,number,NOUN,NN,dobj,True,False,5,[u'List the number of network resources in a region that are used against a subscription quota ', u'Change the number of VMs within a VMSS ']
zone,zone,NOUN,NN,compound,True,False,23,[u'Look up time zone information ', u'Create a DNS zone using a DNS zone file ']
eligible,eligible,ADJ,JJ,ccomp,True,False,1,[u'Reactivates a task allowing it to run again even if its retry count has been exhausted Reactivation makes a task eligible to be retried again up to its maximum retry count The task s state is changed to active As the task is no longer in the completed state any previous exit code or failure information is no longer available after reactivation Each time a task is reactivated its retry count is reset to 0 Reactivation will fail for tasks that are not completed or that previously completed successfully with an exit code of 0 Additionally it will fail if the job has completed or is terminating or deleting ']
graph,graph,PROPN,NNP,pobj,True,False,2,[u'Manage applications with AAD Graph ', u'Manage Azure Active Directory Graph entities needed for Role Based Access Control']
description,description,NOUN,NN,dobj,True,False,1,[u'Gets a Redis cache resource description ']
peering,peering,NOUN,NN,xcomp,True,False,6,[u'Manage ExpressRoute peering of an ExpressRoute circuit ', u'Delete a peering ']
send,send,VERB,VB,ROOT,True,False,2,[u'Send a device to cloud message ', u'Clear the routing rules and send all traffic to production ']
recurrence,recurrence,NOUN,NN,dobj,True,False,3,[u'Retrieve a job recurrence in a Data Lake Analytics account ', u' PREVIEW Manage Data Lake Analytics job recurrences ']
to,to,ADP,IN,prep,True,False,345,[u'Add a job to a Batch account ', u'Complete a cloud to device message ']
automated,automated,ADJ,JJ,amod,True,False,1,[u'Upload Azure Batch service log files from the specified compute node to Azure Blob Storage This is for gathering Azure Batch service log files in an automated fashion from nodes if you are experiencing an error and wish to escalate to Azure support The Azure Batch service log files should be shared with Azure support to aid in debugging issues with the Batch service ']
device,device,NOUN,NN,compound,True,False,41,[u'Complete a cloud to device message ', u'Update an Azure IoT Hub device provisioning service ']
swap,swap,NOUN,NN,dobj,True,False,1,[u'Configure deployment slot auto swap ']
under,under,ADP,IN,prep,True,False,23,[u'Creates a snapshot of an existing share under the specified account ', u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ']
include,include,VERB,VBG,prep,True,False,20,[u'Gets a list of SKUs available for your VM scale set including the minimum and maximum VM instances allowed for each SKU ', u'Copies a file asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The File service copies files on a best effort basis If the destination file exists it will be overwritten The destination file cannot be modified while the copy operation is in progress ']
deletecertificateissuer,deletecertificateissuer,PROPN,NNP,compound,True,False,1,[u'Deletes the specified certificate issuer The DeleteCertificateIssuer operation permanently removes the specified certificate issuer from the vault ']
isvs,isvs,PROPN,NNP,pobj,True,False,1,[u'Manage template solutions provided and maintained by Independent Software Vendors ISVs ']
incremental,incremental,ADJ,JJ,amod,True,False,3,[u'Copies an incremental copy of a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for an incremental copy operation must be a page blob Call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ', u'Copies an incremental copy of a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for an incremental copy operation must be a page blob Call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
premium,premium,PROPN,NNP,compound,True,False,5,[u'Gets the patching schedule of a redis cache requires Premium SKU ', u'Import a private key Supports importing base64 encoded private keys from PEM files Supports importing BYOK keys into HSM for premium KeyVaults ']
string,string,NOUN,NNS,dobj,True,False,22,[u'Manage Azure Authorization Rule connection strings for Namespace', u'Shows the connection strings of Authorizationrule for the Eventhub ']
outside,outside,ADP,IN,prep,True,False,1,[u'Requests that a backup of the specified key be downloaded to the client The Key Backup operation exports a key from Azure Key Vault in a protected form Note that this operation does NOT return key material in a form that can be used outside the Azure Key Vault system the returned key material is either protected to a Azure Key Vault HSM or to Azure Key Vault itself The intent of this operation is to allow a client to GENERATE a key in one Azure Key Vault instance BACKUP the key and then RESTORE it into another Azure Key Vault instance The BACKUP operation may be used to export in protected form any key type from Azure Key Vault Individual versions of a key cannot be backed up BACKUP RESTORE can be performed within geographical boundaries only meaning that a BACKUP from one geographical area cannot be restored to another geographical area For example a backup from the US geographical area cannot be restored in an EU geographical area ']
could,could,VERB,MD,aux,True,False,1,[u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
validationstatus,validationstatus,NOUN,NN,nsubj,True,False,2,[u'Gets the task counts for the specified job Task counts provide a count of the tasks by active running or completed task state and a count of tasks which succeeded or failed Tasks in the preparing state are counted as running If the validationStatus is unvalidated then the Batch service has not been able to check state counts against the task states as reported in the List Tasks API The validationStatus may be unvalidated if the job contains more than 200 000 tasks ', u'Gets the task counts for the specified job Task counts provide a count of the tasks by active running or completed task state and a count of tasks which succeeded or failed Tasks in the preparing state are counted as running If the validationStatus is unvalidated then the Batch service has not been able to check state counts against the task states as reported in the List Tasks API The validationStatus may be unvalidated if the job contains more than 200 000 tasks ']
webhook,webhook,NOUN,NN,pobj,True,False,11,[u'Get the details of a webhook ', u'Get the URL which can be used to configure webhooks for continuous deployment ']
exception,exception,NOUN,NN,nsubjpass,True,False,8,[u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ', u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ']
grid,grid,PROPN,NNP,compound,True,False,4,[u'Create a new event subscription for an Event Grid topic or for an Azure resource ', u'Manage event subscriptions for an Event Grid topic or for an Azure resource ']
replication,replication,NOUN,NN,dobj,True,False,17,[u'Delete a replication from a container registry ', u'Permanently stop data replication between two database replicas ']
balancing,balancing,NOUN,NN,ROOT,True,False,6,[u'List load balancing rules ', u'Get the details of a load balancing rule ']
updates,updates,PROPN,NNP,ROOT,True,False,6,[u'Updates the EventHub ConsumerGroup', u'Updates the Service Bus Topic']
approximate,approximate,ADJ,JJ,amod,True,False,1,[u'Gets the approximate size of the data stored on the share rounded up to the nearest gigabyte Note that this value may not include all recently created or recently resized files ']
kudu,kudu,NOUN,NN,amod,True,False,2,[u'Perform deployment using the kudu zip push deployment for a webapp ', u'Perform deployment using the kudu zip push deployment for a function app ']
daily,daily,ADJ,JJ,pobj,True,False,1,[u'List reservation summaries for daily or monthly by order Id or reservation id ']
condition,condition,NOUN,NN,nsubjpass,True,False,12,[u'Place the CLI in a waiting state until a deployment condition is met ', u'Place the CLI in a waiting state until a condition of the ExpressRoute is met ']
common,common,ADJ,JJ,amod,True,False,1,[u'Add a common name or certificate thumbprint to the cluster for client authentication ']
entire,entire,ADJ,JJ,amod,True,False,4,[u'List secrets in a specified key vault The LIST operation is applicable to the entire vault however only the base secret identifier and attributes are provided in the response Individual secret versions are not listed in the response ', u'Updates an existing entity in a table Throws if the entity does not exist The update_entity operation replaces the entire entity and can be used to remove properties ']
school,school,NOUN,NN,conj,True,False,1,[u'Request parameters for creating a new work or school account user ']
level,level,NOUN,NN,compound,True,False,13,[u'Delete a resource level lock ', u'Update a resource level lock ']
issue,issue,VERB,VBN,conj,True,False,3,[u'Recovers the deleted certificate back to its current version under certificates The RecoverDeletedCertificate operation performs the reversal of the Delete operation The operation is applicable in vaults enabled for soft delete and must be issued during the retention interval available in the deleted certificate s attributes ', u'Upload Azure Batch service log files from the specified compute node to Azure Blob Storage This is for gathering Azure Batch service log files in an automated fashion from nodes if you are experiencing an error and wish to escalate to Azure support The Azure Batch service log files should be shared with Azure support to aid in debugging issues with the Batch service ']
f,f,X,XX,dep,True,False,1,[u'Stream the content of a file similar to tail f ']
list,list,NOUN,NN,compound,True,False,386,[u'List VMSS ', u'List policy events ']
upload,upload,VERB,VB,ROOT,True,False,12,[u'Upload files from a local directory to a blob container ', u'Upload a file or folder to a Data Lake Store account ']
000,000,NUM,CD,nummod,False,False,1,[u'Gets the task counts for the specified job Task counts provide a count of the tasks by active running or completed task state and a count of tasks which succeeded or failed Tasks in the preparing state are counted as running If the validationStatus is unvalidated then the Batch service has not been able to check state counts against the task states as reported in the List Tasks API The validationStatus may be unvalidated if the job contains more than 200 000 tasks ']
correct,correct,ADJ,JJ,amod,True,False,2,[u'Validates the custom domain mapping to ensure it maps to the correct CDN endpoint in DNS ', u'Validate whether a template is syntactically correct ']
leave,leave,VERB,VBZ,conj,True,False,4,[u'Aborts a pending copy_blob operation and leaves a destination blob with zero length and full metadata ', u' Aborts a pending copy_file operation and leaves a destination file with zero length and full metadata ']
item,item,NOUN,NNS,pobj,True,False,14,[u'Manage protection of your items enable protection or disable it or take on demand backups ', u'Update the policy associated with this item ']
spaces,spaces,PROPN,NNPS,dobj,True,False,2,[u' PREVIEW Remove Azure Dev Spaces from a managed Kubernetes cluster ', u' PREVIEW Use Azure Dev Spaces with a managed Kubernetes cluster ']
affect,affect,VERB,VBN,ROOT,True,False,2,[u'Starts a rolling upgrade to move all virtual machine scale set instances to the latest available Platform Image OS version Instances which are already running the latest available OS version are not affected ', u'Deletes a deployment from the deployment history A template deployment that is currently running cannot be deleted Deleting a template deployment removes the associated deployment operations Deleting a template deployment does not affect the state of the resource group This is an asynchronous operation that returns a status of 202 until the template deployment is successfully deleted The Location response header contains the URI that is used to obtain the status of the process While the process is running a call to the URI in the Location header returns a status of 202 When the process finishes the URI in the Location header returns a status of 204 on success If the asynchronous request failed the URI in the Location header returns an error level status code ']
small,small,ADJ,JJ,amod,True,False,1,[u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
registries,registries,PROPN,NNP,pobj,True,False,2,[u'Manage replications of Azure Container Registries across multiple regions ', u'Manage Azure Container Registries for private registries within Azure ']
round,round,VERB,VBD,acl,True,False,1,[u'Gets the approximate size of the data stored on the share rounded up to the nearest gigabyte Note that this value may not include all recently created or recently resized files ']
prevent,prevent,VERB,VBG,acl,True,False,1,[u'Disables the specified job preventing new tasks from running The Batch Service immediately moves the job to the disabling state Batch then uses the disableTasks parameter to determine what to do with the currently running tasks of the job The job remains in the disabling state until the disable operation is completed and all tasks have been dealt with according to the disableTasks option the job then moves to the disabled state No new tasks are started under the job until it moves back to active state If you try to disable a job that is in any state other than active disabling or disabled the request fails with status code 409 ']
managed,managed,PROPN,NNP,ROOT,True,False,3,[u'List Managed Service Identities', u'Lists available operations for the Managed Identity provider']
byte,byte,NOUN,NN,compound,True,False,2,[u'Resizes a file to the specified size If the specified byte value is less than the current size of the file then all ranges above the specified byte value are cleared ', u'Resizes a file to the specified size If the specified byte value is less than the current size of the file then all ranges above the specified byte value are cleared ']
detection,detection,NOUN,NN,compound,True,False,3,[u'Update a database s threat detection policy ', u'Manage a database s threat detection policies ']
direct,direct,ADJ,JJ,compound,True,False,2,[u'Lists the available billing periods for a subscription in reverse chronological order This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ', u'Gets a named billing period This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ']
budget,budget,NOUN,NN,dobj,True,False,5,[u'Show budget for an Azure subscription ', u'List budgets for an Azure subscription ']
zero,zero,NOUN,NNS,dobj,True,False,7,[u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ', u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
fiber,fiber,NOUN,NN,compound,True,False,1,[u'Manage dedicated private network fiber connections to Azure ']
eventhub,eventhub,PROPN,NNP,pobj,True,False,17,[u'Shows the connection strings of Authorizationrule for the Eventhub ', u'Manage Azure Event Hubs namespaces eventhubs consumergroups and geo recovery configurations Alias']
follow,follow,VERB,VBG,amod,True,False,1,[u'Deletes a pool from the specified account When you request that a pool be deleted the following actions occur the pool state is set to deleting any ongoing resize operation on the pool are stopped the Batch service starts resizing the pool to zero nodes any tasks running on existing nodes are terminated and requeued as if a resize pool operation had been requested with the default requeue option finally the pool is removed from the system Because running tasks are requeued the user can rerun these tasks by updating their job to target a different pool The tasks can then run on the new pool If you want to override the requeue behavior then you should call resize pool explicitly to shrink the pool to zero size before deleting the pool If you call an Update Patch or Delete API on a pool in the deleting state it will fail with HTTP status code 409 with error code PoolBeingDeleted ']
download,download,VERB,VB,ROOT,True,False,21,[u'Download the content of a Batch task file ', u'Download a VPN client configuration required to connect to Azure via point to site ']
assembly,assembly,NOUN,NNS,dobj,True,False,3,[u' PREVIEW Manage Data Lake Analytics catalog assemblies ', u'Retrieves the specified assembly from the Data Lake Analytics catalog ']
submit,submit,VERB,VB,ROOT,True,False,1,[u'Submit a job to a Data Lake Analytics account ']
port,port,NOUN,NNS,ROOT,True,False,10,[u'List frontend ports ', u'Opens a VM to inbound traffic on specified ports ']
append,append,NOUN,NN,amod,True,False,4,[u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ', u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
even,even,ADV,RB,advmod,True,False,3,[u'Renews the lease The lease can be renewed if the lease ID specified on the request matches that associated with the blob Note that the lease may be renewed even if it has expired as long as the blob has not been modified or leased again since the expiration of that lease When you renew a lease the lease duration clock resets ', u'Reactivates a task allowing it to run again even if its retry count has been exhausted Reactivation makes a task eligible to be retried again up to its maximum retry count The task s state is changed to active As the task is no longer in the completed state any previous exit code or failure information is no longer available after reactivation Each time a task is reactivated its retry count is reset to 0 Reactivation will fail for tasks that are not completed or that previously completed successfully with an exit code of 0 Additionally it will fail if the job has completed or is terminating or deleting ']
what,what,NOUN,WP,dobj,True,False,1,[u'Disables the specified job preventing new tasks from running The Batch Service immediately moves the job to the disabling state Batch then uses the disableTasks parameter to determine what to do with the currently running tasks of the job The job remains in the disabling state until the disable operation is completed and all tasks have been dealt with according to the disableTasks option the job then moves to the disabled state No new tasks are started under the job until it moves back to active state If you try to disable a job that is in any state other than active disabling or disabled the request fails with status code 409 ']
recur,recur,VERB,VBG,conj,True,False,1,[u'Create a fixed or recurring autoscale profile ']
authorizationrule,authorizationrule,PROPN,NNP,pobj,True,False,23,[u'Shows the connection strings of Authorizationrule for the Eventhub ', u'List of Authorizationrule by Event Hubs Namespace']
blobs,blobs,ADJ,JJ,acl,True,False,3,[u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ', u'Copies an incremental copy of a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for an incremental copy operation must be a page blob Call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
expiration,expiration,NOUN,NN,pobj,True,False,4,[u'Renews the lease The lease can be renewed if the lease ID specified on the request matches that associated with the blob Note that the lease may be renewed even if it has expired as long as the blob has not been modified or leased again since the expiration of that lease When you renew a lease the lease duration clock resets ', u'Remove the expiration time for a file ']
scaffold,scaffold,PROPN,NNP,nsubj,True,False,1,[u'Scaffold fully formed autoscale settings parameters as json template ']
resume,resume,NOUN,NNS,ROOT,True,False,2,[u'Resumes a datawarehouse ', u'Enables the specified job allowing new tasks to run When you call this API the Batch service sets a disabled job to the enabling state After the this operation is completed the job moves to the active state and scheduling of new tasks under the job resumes The Batch service does not allow a task to remain in the active state for more than 7 days Therefore if you enable a job containing active tasks which were added more than 7 days ago those tasks will not run ']
recommendation,recommendation,NOUN,NNS,dobj,True,False,4,[u'Disable Azure Advisor recommendations ', u'List Azure Advisor recommendations ']
near,near,ADJ,JJS,amod,True,False,1,[u'Gets the approximate size of the data stored on the share rounded up to the nearest gigabyte Note that this value may not include all recently created or recently resized files ']
find,find,VERB,VB,ROOT,True,False,4,[u'Find the available VM extensions for a subscription and region ', u'Find Azure CLI commands ']
current,current,ADJ,JJ,amod,True,False,24,[u'Display the current distribution of traffic across slots ', u'Recovers the deleted secret back to its current version under secrets Authorization requires the secrets recover permission ']
version,version,NOUN,NN,pobj,True,False,34,[u'Recovers the deleted secret back to its current version under secrets Authorization requires the secrets recover permission ', u'Upgrade a managed Kubernetes cluster to a newer version ']
template,template,NOUN,NN,pobj,True,False,13,[u'Get the details of an ARM template in a lab ', u'Manage resource groups and template deployments ']
new,new,ADJ,JJ,amod,True,False,56,[u'Add a new node type to a cluster ', u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ']
issuer,issuer,NOUN,NN,compound,True,False,13,[u'Manage certificate issuer information ', u'List admins for a specified certificate issuer ']
tunnel,tunnel,NOUN,NN,dobj,True,False,1,[u'Creates an SSH tunnel to the Azure container service and opens the Mesosphere DC OS dashboard in the browser ']
public,public,ADJ,JJ,amod,True,False,10,[u'Get the details of a public IP address ', u'Create a public IP address ']
metadata,metadata,NOUN,NN,dobj,True,False,40,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ']
satisfy,satisfy,VERB,VB,pcomp,True,False,3,[u'Wait for server to satisfy certain conditions ', u'List entities which satisfy a query ']
redirect,redirect,NOUN,NN,compound,True,False,6,[u'List redirect configurations ', u'Manage redirect configurations ']
inspect,inspect,VERB,VB,ROOT,True,False,3,[u'Inspect the price sheet of an Azure subscription within a billing period ', u'Inspect the usage of Azure resources ']
retry,retry,NOUN,NN,compound,True,False,4,[u'Reactivates a task allowing it to run again even if its retry count has been exhausted Reactivation makes a task eligible to be retried again up to its maximum retry count The task s state is changed to active As the task is no longer in the completed state any previous exit code or failure information is no longer available after reactivation Each time a task is reactivated its retry count is reset to 0 Reactivation will fail for tasks that are not completed or that previously completed successfully with an exit code of 0 Additionally it will fail if the job has completed or is terminating or deleting ', u'Reactivates a task allowing it to run again even if its retry count has been exhausted Reactivation makes a task eligible to be retried again up to its maximum retry count The task s state is changed to active As the task is no longer in the completed state any previous exit code or failure information is no longer available after reactivation Each time a task is reactivated its retry count is reset to 0 Reactivation will fail for tasks that are not completed or that previously completed successfully with an exit code of 0 Additionally it will fail if the job has completed or is terminating or deleting ']
modify,modify,VERB,VBN,ROOT,True,False,4,[u'Copies a file asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The File service copies files on a best effort basis If the destination file exists it will be overwritten The destination file cannot be modified while the copy operation is in progress ', u'Renews the lease The lease can be renewed if the lease ID specified on the request matches that associated with the blob Note that the lease may be renewed even if it has expired as long as the blob has not been modified or leased again since the expiration of that lease When you renew a lease the lease duration clock resets ']
redeploy,redeploy,VERB,VB,ROOT,True,False,1,[u'Redeploy an existing VM ']
json,json,PROPN,NNP,compound,True,False,2,[u'List keys in the specified vault Retrieves a list of the keys in the Key Vault as JSON Web Key structures that contain the public part of a stored key The LIST operation is applicable to all key types however only the base key identifier attributes and tags are provided in the response Individual versions of a key are not listed in the response Authorization Requires the keys list permission ', u'Scaffold fully formed autoscale settings parameters as json template ']
